HCH_012_268_000181	夫人劉氏素勇健，率婦女數十人據山巔公廨，登屋而射，每一矢斃一賊，賊不敢逼。
HCH_012_268_000182	縱火焚之，闔家盡死。
HCH_012_268_000183	自成集眾計曰：「寧武雖破，吾將士死傷多。自此達京師，歷大同、陽和、宣府、居庸，皆有重兵。倘盡如寧武，吾部下寧有孑遺哉！不如還秦休息，圖後舉。」
HCH_012_268_000184	刻期將遁，而大同總兵姜襄降表至，自成大喜。
HCH_012_268_000185	方宴其使者，宣府總兵王承蔭表亦至，自成益喜。
HCH_012_268_000186	遂決策長驅，歷大同、宣府抵居庸。
HCH_012_268_000187	太監杜之秩、總兵唐通復開門延之，京師遂不守矣。
HCH_012_268_000188	賊每語人曰：「他鎮復有一周總兵，吾安得至此。」
HCH_012_268_000189	福王時，贈太保，謚忠武，列祀旌忠祠。
HCH_012_268_000190	黃得功，號虎山，開原衛人，其先自合肥徙。
HCH_012_268_000191	早孤，與母徐居。
HCH_012_268_000192	少負奇氣，膽略過人。
HCH_012_268_000193	年十二，母釀酒熟，竊飲至盡。
HCH_012_268_000194	母責之，笑曰：「償易耳。」
HCH_012_268_000195	時遼事急，得功持刀雜行伍中，出斬首二級，中賞率得白金五十兩，歸奉母，曰：「兒以償酒也。」
HCH_012_268_000196	由是隸經略為親軍，累功至遊擊。
HCH_012_268_000197	崇禎九年，遷副總兵，分管京衛管。
HCH_012_268_000198	十一年以禁軍從總督熊文燦擊賊於舞陽，鏖光、固間，最。
HCH_012_268_000199	八月又從擊賊馬光玉於淅川之吳村、王家寨，大破之。
HCH_012_268_000200	詔加太子太師，署總兵銜。
HCH_012_268_000201	十三年從太監盧九德破賊於板石畈，賊革裹眼等五營降。
HCH_012_268_000202	十四年以總兵與王憲分護鳳陽、泗州陵，得功駐定遠。
HCH_012_268_000203	張獻忠攻桐城，挾營將廖應登至城下誘降。
HCH_012_268_000204	得功與劉良佐合兵擊之於鮑家嶺，賊敗遁，追至潛山，擒斬賊將闖世王馬武、三鷂子王興國。
HCH_012_268_000205	三鷂子，獻忠養子，最號驍勇者也。
HCH_012_268_000206	得功箭傷面，愈自奮，與賊轉戰十餘日，所殺傷獨多。
HCH_012_268_000207	明年移鎮廬州。
HCH_012_268_000208	十七年封靖南伯。
HCH_012_268_000209	福王立江南，進封侯。
HCH_012_268_000210	旋命與劉良佐、劉澤清、高傑為四鎮。
HCH_012_268_000211	初，督輔史可法慮傑跋扈難制，故置得功儀真，陰相牽制。
HCH_012_268_000212	適登萊總兵黃蜚將之任，蜚與得功同姓，稱兄弟，移書請兵備非常。
HCH_012_268_000213	得功率騎三百由揚州往高郵迎之，傑副將胡茂楨馳報傑。
HCH_012_268_000214	傑素忌得功，又疑圖己，乃伏精卒道中，邀擊之。
HCH_012_268_000215	得功行至土橋，方作食，伏起，出不意，上馬舉鐵鞭，飛矢雨集，馬踣，騰他騎馳。
HCH_012_268_000216	有驍騎舞槊直前，得功大呼，反鬥，挾其槊而抶之，人馬皆糜。
HCH_012_268_000217	復殺數十人，跳入頹垣中，哮聲如雷，追者不敢進，遂疾馳至大軍，得免。
HCH_012_268_000218	方鬥時，傑潛師搗儀真，得功兵頗傷，而所俱行三百騎皆歿。
HCH_012_268_000219	遂訴於朝，願與傑決一死戰。
HCH_012_268_000220	可法命監軍萬元吉和解之，不可。
HCH_012_268_000221	會得功有母喪，可法來吊，語之曰：「土橋之役，無智愚皆知傑不義。今將軍以國故捐盛怒，而歸曲於高，是將軍收大名於天下也。」
HCH_012_268_000222	得功色稍和，終以所殺亡多為恨。
HCH_012_268_000223	可法令傑償其馬，復出千金為母赗。
HCH_012_268_000224	得功不得已，聽之。
HCH_012_268_000225	明年，傑欲趨河南，規取中原。
HCH_012_268_000226	詔得功與劉良佐守邳、徐。
HCH_012_268_000227	傑死，得功還儀真。
HCH_012_268_000228	傑家並將士妻子尚留揚州，得功謀襲之。
