HCH_010_053_000136	進士賜章服儀：皇帝御殿，臣僚公服引進士入，東方面西，再拜，揖就丹墀位，面殿鞠躬。
HCH_010_053_000137	閣使稱「有敕」，再拜，鞠躬。
HCH_010_053_000138	舍人宣敕「各依等甲賜卿敕牒一道，兼賜章服，想宜知悉」，揖再拜。
HCH_010_053_000139	跪受敕訖，再拜。
HCH_010_053_000140	退，引至章服所，更衣訖，揖復丹墀位，鞠躬。
HCH_010_053_000141	贊謝恩，舞蹈，五拜。
HCH_010_053_000142	各祗候，殿東亭內序立。
HCH_010_053_000143	聲喏，坐。
HCH_010_053_000144	賜宴，簪花。
HCH_010_053_000145	宣閣使一員、閣門三人或二人勸飲終日。
HCH_010_053_000146	禮畢。
HCH_010_053_000147	宰相中謝儀：皇帝常服升殿坐，諸班起居如常儀。
HCH_010_053_000148	應坐臣僚上殿，其餘臣僚殿下東西侍立，皆如宋使初見之儀。
HCH_010_053_000149	引中謝官左入，至丹墀面西立。
HCH_010_053_000150	舍人當殿鞠躬，通新受具官姓名祗候中謝。
HCH_010_053_000151	宣徽殿上索通班舍人就贊禮位，贊某官至。
HCH_010_053_000152	宣徽贊通班舍人二人對立，揖中謝官鞠躬。
HCH_010_053_000153	贊就拜位，舍人二人引面殿鞠躬。
HCH_010_053_000154	贊拜，中謝官舞蹈，五拜，不出班，奏「聖躬萬福」。
HCH_010_053_000155	贊再拜。
HCH_010_053_000156	揖出班跪，敘官，致詞訖，俯伏興，復位。
HCH_010_053_000157	贊拜，舞蹈，五拜。
HCH_010_053_000158	又出班，中謝致詞如初儀，共十有七拜。
HCH_010_053_000159	贊祗候，引右階上殿，就位。
HCH_010_053_000160	揖應坐臣僚聲喏坐。
HCH_010_053_000161	供奉官行酒，傳宣飲盡。
HCH_010_053_000162	臣僚搢笏，執盞起，位後立飲；置盞，出笏。
HCH_010_053_000163	贊拜，臣僚皆再拜。
HCH_010_053_000164	贊各坐，搢笏，執盞，授供奉官盞。
HCH_010_053_000165	酒三行，揖應坐臣僚聲喏立。
HCH_010_053_000166	引中謝官右階下殿，至丹墀，面殿鞠躬。
