HCH_009_022_000110	凡日以赤道內為陰，外為陽；月以黃道內為陰，外為陽。
HCH_009_022_000111	故月行正交，入夏至後宿度內為同名，入冬至後宿度內為異名。
HCH_009_022_000112	其在同名者，置月行與黃道泛差，九因八約之，為定差，半交後，正交前，以差減；正交後，半交前，以差加。
HCH_009_022_000113	此加減出入六度，正，如黃赤道相交同名之差，若較之漸異，則隨交所在，遷變不同也。
HCH_009_022_000114	仍以正交度距秋分度數，乘定差，如象限而一，所得為月道與赤道定差。
HCH_009_022_000115	前加者為減，減者為加。
HCH_009_022_000116	其中異名者，置月行與黃道泛差，七因八約之，為定差。
HCH_009_022_000117	半交後，以差加；正交後，半交前，以差減。
HCH_009_022_000118	此加減出入六度，異，如黃道赤道相交異名之差，較之漸同，則隨交所遷變不常。
HCH_009_022_000119	仍以正交度距春分度數，乘定差，如象限而一，所得為月道與赤道定差。
HCH_009_022_000120	前加者為減，減者為加。
HCH_009_022_000121	各加減黃道宿積度，為九道宿積度。
HCH_009_022_000122	以前宿九道積度減之，為其宿九道度及分。
HCH_009_022_000123	其分就近約為太半少。
HCH_009_022_000124	論春夏秋冬以四時日所在宿度為正。
HCH_009_022_000125	以正交加時黃道日度及分，減一百一度，餘以正交度及分乘之，半而退位為分，分滿百為度，命為月道與黃道泛差。
HCH_009_022_000126	其在同名者，置月行與黃道泛差。
HCH_009_022_000127	九因八約之，為定差，以加；仍以正交度距秋分度數，乘定差，如象限而一，所得為月道與赤道定差，以減，其在異名者，置月行與黃道泛差，七因八約之，為定差，以減；仍以正交度距春分度數，乘定差，如象限而一，所得為月道與赤道定差，以加。
HCH_009_022_000128	置正交加時黃道月度及分，以二差加減之，即為正交加時月離九道宿度及分。
HCH_009_022_000129	置定朔加時日躔黃道宿次，凡合朔加時，月行潛在日下，與太陽同度，是為加時月離宿次。
HCH_009_022_000130	各以弦、望度及分秒，加其所當弦、望加時月躔黃道宿度，滿宿次去之，命如前，各得定朔、弦、望加時月所在黃道宿度及分秒。
HCH_009_022_000131	各以朔、弦、望加時月離黃道宿度及分秒，加前宿正交後黃道積度，為定朔、弦、望加時正交後黃道積度。
HCH_009_022_000132	如前求九道積度，以前宿九道積度減之，餘為定朔、弦、望加時九道月離宿度及分秒。
HCH_009_022_000133	其合朔加時，若非正交，則日在黃道，月在九道，所入宿度，雖多少不同，考其兩極，若應繩准。
HCH_009_022_000134	故雲：月行潛在日下，與太陽同度，即為加時九道月度。
HCH_009_022_000135	其求晨昏夜半月度，並依前術。
HCH_009_022_000136	交終分：一十四萬二千三百一十九，秒九千三百六十八。
HCH_009_022_000137	交終日：二十七日，餘一千一百九分，秒九千三百六十八。
HCH_009_022_000138	交中日：十三，餘三千一百六十九，秋九千六百八十四。
HCH_009_022_000139	交朔日：二，餘一千六百六十五，秒六百三十二。
HCH_009_022_000140	交望日：十四，餘四千二，秒五千。
HCH_009_022_000141	秒母：一萬。
HCH_009_022_000142	交終：三百六十三度，七十九分，三十六秒。
HCH_009_022_000143	交中：一百八十一度，八十九分，六十八秒。
HCH_009_022_000144	交象：九十度，九十四分，八十四秒。
HCH_009_022_000145	半交象：四十五度，四十七分，四十二秒。
HCH_009_022_000146	日蝕既前限：二千四百。
HCH_009_022_000147	定法：二百四十八。
HCH_009_022_000148	日蝕既後限：三千一百。
HCH_009_022_000149	定法：三百二十。
HCH_009_022_000150	月蝕限：五千一百。
HCH_009_022_000151	月蝕既限：一千七百。
HCH_009_022_000152	定法：三百四十。
HCH_009_022_000153	分秒母：一百。
HCH_009_022_000154	置天正朔積分，以交終分去之，不盡，如日法而一，為日，不滿為餘，即天正十一月經朔加時入交泛日及餘秒。
