HCH_012_240_000121	既而刑部尚書王紀削籍，禮部尚書孫慎行、都御史鄒元標先後被攻致仕去。
HCH_012_240_000122	向高爭不得，因請與元標同罷。
HCH_012_240_000123	帝不聽，而忠賢益恨向高。
HCH_012_240_000124	向高為人光明忠厚，有德量，好扶植善類。
HCH_012_240_000125	再入相，事沖主，不能謇直如神宗時，然猶數有匡救。
HCH_012_240_000126	給事中章允儒請減上供袍服。
HCH_012_240_000127	奄人激帝怒，命廷杖。
HCH_012_240_000128	向高論救者再，乃奪俸一年。
HCH_012_240_000129	御史帥眾指斥宮禁，奄人請帝出之外，以向高救免。
HCH_012_240_000130	給事中傅櫆救王紀，將貶謫，亦以向高言僅奪俸。
HCH_012_240_000131	紀既罷去，御史吳甡、王祚昌薦之，部議以故官召。
HCH_012_240_000132	忠賢怒，將重譴文選郎，向高亦救免。
HCH_012_240_000133	給事中陳良訓疏譏權奄，忠賢摘其疏中「國運將終」語，命下詔獄，窮治主使。
HCH_012_240_000134	向高以去就爭，乃奪俸而止。
HCH_012_240_000135	熊廷弼、王化貞論死，言官勸帝速決。
HCH_012_240_000136	向高請俟法司覆奏，帝從之。
HCH_012_240_000137	有請括天下布政司、府、州、縣庫藏盡輸京師者，向高言：「郡邑藏已竭，藩庫稍餘。倘盡括之，猝有如山東白蓮教之亂，何以應之？」
HCH_012_240_000138	帝皆不納。
HCH_012_240_000139	忠賢既默恨向高，而其時朝士與忠賢抗者率倚向高。
HCH_012_240_000140	忠賢乃時毛舉細故，責向高以困之。
HCH_012_240_000141	向高數求去。
HCH_012_240_000142	四年四月，給事中傅櫆劾左光斗、魏大中交通汪文言，招權納賄，命下文言詔獄。
HCH_012_240_000143	向高言：「文言內閣辦事，實臣具題。光斗等交文言事曖昧，臣用文言顯然。乞陛下止罪臣，而稍寬其他，以消縉紳之禍。」
HCH_012_240_000144	因力求速罷。
HCH_012_240_000145	當是時，忠賢欲大逞，憚眾正盈朝，伺隙動。
HCH_012_240_000146	得櫆疏喜甚，欲藉是羅織東林，終憚向高舊臣，並光斗等不罪，止罪文言。
HCH_012_240_000147	然東林禍自此起。
HCH_012_240_000148	至六月，楊漣上疏劾忠賢二十四大罪。
HCH_012_240_000149	向高謂事且決裂，深以為非。
HCH_012_240_000150	廷臣相繼抗章至數十上，或勸向高下其事，可決勝也。
HCH_012_240_000151	向高念忠賢未易除，閣臣從中挽回，猶冀無大禍。
HCH_012_240_000152	乃具奏稱忠賢勤勞。
HCH_012_240_000153	朝廷寵待厚，盛滿難居，宜解事權，聽歸私第，保全終始。
HCH_012_240_000154	忠賢不悅，矯帝旨敘己功勤，累百餘言。
HCH_012_240_000155	向高駭曰：「此非奄人所能，必有代為草者。」
HCH_012_240_000156	探之，則徐大化也。
HCH_012_240_000157	忠賢雖憤，猶以外廷勢盛，未敢加害。
HCH_012_240_000158	其黨有導以興大獄者，忠賢意遂決。
HCH_012_240_000159	於是工部郎中萬燝以劾忠賢廷杖，向高力救，不從，死杖下。
HCH_012_240_000160	無何，御史林汝翥亦以忤奄命廷杖。
HCH_012_240_000161	汝翥懼，投遵化巡撫所。
HCH_012_240_000162	或言汝翥向高甥也，群奄圍其邸大噪。
HCH_012_240_000163	向高以時事不可為，乞歸已二十餘疏，至是請益力。
HCH_012_240_000164	乃命加太傅，遣行人護歸，所給賜視彜典有加。
HCH_012_240_000165	尋聽辭太傅，有司月給米五石，輿夫八。
HCH_012_240_000166	向高既罷去，韓爌、朱國禎相繼為首輔，未久皆罷。
HCH_012_240_000167	居政府者皆小人，清流無所依倚。
HCH_012_240_000168	忠賢首誣殺漣，光斗等次第戮辱，貶削朝士之異己者，善類為一空云。
HCH_012_240_000169	熹宗崩，向高亦以是月卒，年六十有九。
HCH_012_240_000170	崇禎初，贈太師，謚文忠。
HCH_012_240_000171	劉一燝，字季晦，南昌人。
HCH_012_240_000172	父曰材，嘉靖中進士，陜西左布政使。
