HCH_012_262_000194	九月，會陜西總督傅宗龍於新蔡，與賊遇，大潰於孟家莊，再潰於火燒店。
HCH_012_262_000195	部將挾文嶽夜入於項城。
HCH_012_262_000196	明日奔陳州，宗龍遂覆沒。
HCH_012_262_000197	事聞，文嶽革職，充為事官，戴罪自贖。
HCH_012_262_000198	乃收集散亡，率所部就巡撫高名衡防杞。
HCH_012_262_000199	賊遂破葉縣，拔泌陽，乘勝陷南陽，殺唐王，下鄧州等十四城，再圍開封。
HCH_012_262_000200	明年正月，文嶽馳救開封，論功復官。
HCH_012_262_000201	臨潁為賊守，左良玉破而屠之，退保郾城。
HCH_012_262_000202	自成圍郾城。
HCH_012_262_000203	二月，督師丁啟睿及文嶽、大威救郾城。
HCH_012_262_000204	賊潰，距官軍數里而營。
HCH_012_262_000205	文嶽、啟睿相掎角，持十一晝夜。
HCH_012_262_000206	總督汪喬年出關，賊引去，再攻開封。
HCH_012_262_000207	六月，詔起侯恂兵部右侍郎，總督保定、山東、河南、湖北軍務，代文嶽。
HCH_012_262_000208	命所司察文嶽罪狀。
HCH_012_262_000209	七月朔，文嶽、啟睿合良玉、大威及楊德政、方國安四總兵之師，次朱仙鎮。
HCH_012_262_000210	諸軍盡潰，啟睿、文嶽奔汝寧。
HCH_012_262_000211	賊渡河，追奔四百里，官軍失亡數萬。
HCH_012_262_000212	詔褫官候勘。
HCH_012_262_000213	九月，文嶽在汝寧，夜襲賊營有功。
HCH_012_262_000214	賊既灌開封，旋敗孫傳庭兵，以閏十一月悉眾薄汝寧，老回回、革裏眼、左金王等畢會。
HCH_012_262_000215	文嶽遣都司康世德以輕騎偵賊，世德走還汝，將其步騎五百，夜縱火噪而奔。
HCH_012_262_000216	十三日，群賊並至，壓汝寧五里而軍。
HCH_012_262_000217	監軍僉事孔貞會以川兵屯城東，文嶽以保兵屯城西。
HCH_012_262_000218	賊兵進攻，相持一晝夜。
HCH_012_262_000219	川兵潰，殺傷數百。
HCH_012_262_000220	賊奪其馬騾，悉眾攻保兵，漸不支。
HCH_012_262_000221	僉事王世琮、知府傅汝為、通判朱國寶縋將士入城，副將賈悌、參將馮名聖亦掖文嶽、貞會登城。
HCH_012_262_000222	明日，賊四面環攻，戴扉以陣，矢石雲梯堵墻而立。
HCH_012_262_000223	城頭矢炮擂石雨集，賊死傷山積，而攻不休。
