HCH_010_020_000125	十二月丁亥，北府宰相、趙王蕭孝友出為東京留守，東京留守蕭塔列葛為北府宰相，南院樞密使、潞王查葛為南院大王。
HCH_010_020_000126	庚戌，韓國王蕭惠徙封魏王，致仕。
HCH_010_020_000127	壬子，夏國李諒祚遣使上表，乞依舊臣屬。
HCH_010_020_000128	二十年春正月戊戌，駐蹕混同江。
HCH_010_020_000129	二月甲申，遣前北院都監蕭友括等使夏國，索党項叛戶。
HCH_010_020_000130	己丑，如蒼耳濼。
HCH_010_020_000131	甲辰，吐蕃遣使來貢。
HCH_010_020_000132	三月壬子朔，幸黑水。
HCH_010_020_000133	夏五月癸丑，蕭友括等使夏還，李諒祚母表乞如党項權進馬、駝、牛、羊等物。
HCH_010_020_000134	己巳，夏國遣使求唐隆鎮及乞罷所建城邑，以詔答之。
HCH_010_020_000135	六月丙戌，詔以所獲李元昊妻及前後所俘夏人，安置蘇州。
HCH_010_020_000136	以伐夏所獲物遣使遺宋。
HCH_010_020_000137	秋七月，如秋山。
HCH_010_020_000138	九月，詔更定條制。
HCH_010_020_000139	駐蹕中會川。
HCH_010_020_000140	冬十月己卯朔，括諸道軍籍。
HCH_010_020_000141	十一月庚申，以惕隱都監蕭謨魯為左夷離畢。
HCH_010_020_000142	甲子，命東京留守司總領戶部、內省事。
HCH_010_020_000143	丁卯，罷中丞記錄職官過犯，令承旨總之。
HCH_010_020_000144	十二月乙酉，以皇太后行再生禮，肆赦。
HCH_010_020_000145	二十一年春正月辛亥，如混同江。
HCH_010_020_000146	二月，如魚兒濼。
HCH_010_020_000147	夏四月癸未，以國舅詳穩蕭阿剌為西北路招討使，封西平郡王。
HCH_010_020_000148	六月丙子，駐蹕永安山。
HCH_010_020_000149	秋七月甲辰朔，召北府宰相蕭塔烈葛、南府宰相漢王貼不、南院樞密使蕭革、知北院樞密使事仁先等，賜坐，論古今治道。
HCH_010_020_000150	戊申，祀天地。
HCH_010_020_000151	己酉，詔北、南樞密院，日再奏事。
HCH_010_020_000152	壬子，追尊太祖之祖為簡獻皇帝，廟號玄祖，祖妣為簡獻皇后；太祖之考為宣簡皇帝，廟號德祖，妣為宣簡皇后。
HCH_010_020_000153	追封太祖伯父夷離堇巖木為蜀國王，於越釋魯為隋國王。
HCH_010_020_000154	以燕趙國王洪基為天下兵馬大元帥、知惕隱事，賜詔諭之。
HCH_010_020_000155	癸亥，近侍小底盧寶偽學御書，免死，配役終身。
HCH_010_020_000156	甲子，如秋山。
HCH_010_020_000157	戊辰，謁慶陵。
HCH_010_020_000158	以南院樞密使蕭革為北院樞密使，封吳王。
HCH_010_020_000159	辛未，如慶州。
HCH_010_020_000160	壬申，追封太祖弟寅底石為許國王。
HCH_010_020_000161	八月戊子，太尉烏者薨，詔配享聖宗廟。
HCH_010_020_000162	九月乙卯，平州進白兔。
HCH_010_020_000163	己未，謁懷陵。
HCH_010_020_000164	庚申，追上嗣聖皇帝、天順皇帝尊謚，及更謚彰德皇后曰靖安。
HCH_010_020_000165	癸亥，謚齊天皇后曰仁德皇后。
HCH_010_020_000166	甲子，謁祖陵。
HCH_010_020_000167	增太祖謚大聖大明神烈天皇帝，更謚貞烈皇后曰淳欽，恭順皇帝曰章肅，后蕭氏謚曰和敬。
HCH_010_020_000168	冬十月戊寅，駐蹕中會川。
HCH_010_020_000169	丁亥，夏國李諒祚遣使乞弛邊備，即遣蕭友括奉詔諭之。
HCH_010_020_000170	戊子，幸顯、懿二州。
HCH_010_020_000171	甲午，遼興軍節度使蕭虛烈封鄭王，南院大王、潞王查葛為南院樞密使，進封越國王。
HCH_010_020_000172	戊戌，射虎於南撒葛柏。
HCH_010_020_000173	辛丑，謁乾陵。
HCH_010_020_000174	十一月壬寅朔，增謚文獻皇帝為文獻欽義皇帝，及謚二后曰端順，曰柔貞。
HCH_010_020_000175	復更謚世宗孝烈皇后為懷節。
HCH_010_020_000176	丁未，增孝成皇帝謚曰孝成康靖皇帝，更謚聖神宣獻皇后為睿智。
HCH_010_020_000177	甲子，次中會川。
HCH_010_020_000178	回鶻阿薩蘭遣使貢名馬、文豹。
HCH_010_020_000179	丙寅，錄囚。
HCH_010_020_000180	十二月戊戌，以北府宰相塔烈葛為南京統軍使，鄭王虛烈北府宰相，契丹行宮都部署耶律義先惕隱。
HCH_010_020_000181	釋役徒限年者。
HCH_010_020_000182	二十二年春正月乙巳，如混同江。
HCH_010_020_000183	二月丙子，回鶻阿薩蘭為鄰國所侵，遣使求援。
HCH_010_020_000184	庚辰，如春水。
HCH_010_020_000185	三月癸亥，李諒祚以賜詔許降，遣使來謝。
HCH_010_020_000186	丙寅，如黑水濼。
HCH_010_020_000187	夏四月戊子。
HCH_010_020_000188	獵鶴澱。
HCH_010_020_000189	五月壬寅，詔內地州縣植果。
HCH_010_020_000190	六月壬申，駐蹕胡呂山。
HCH_010_020_000191	癸未，高麗遣使來貢。
HCH_010_020_000192	秋七月己酉，阻卜大王屯禿古斯率諸部長獻馬、駝。
HCH_010_020_000193	庚申，如黑嶺。
HCH_010_020_000194	閏月庚午，烏古來貢。
HCH_010_020_000195	癸巳，長春州置錢帛司。
HCH_010_020_000196	九月壬辰，夏國李諒祚遣使進降表。
HCH_010_020_000197	甲午，遣南面林牙高家奴等奉詔撫諭。
HCH_010_020_000198	冬十月丙申朔，日有食之。
HCH_010_020_000199	十一月辛卯，詔諸職事官以禮受代及以罪去者置籍，歲申樞密院。
HCH_010_020_000200	十二月丙申朔，詔回鶻部副使以契丹人充。
HCH_010_020_000201	庚子，應聖節，曲赦徒以下罪。
HCH_010_020_000202	壬子，詔大臣曰：「朕與宋主約為兄弟，歡好歲久，欲見其繪像，可諭來使。」
HCH_010_020_000203	二十三年春正月己巳，如混同江。
HCH_010_020_000204	癸酉，獵雙子澱。
HCH_010_020_000205	戊子，夏國遣使貢方物。
HCH_010_020_000206	壬辰，如春水。
HCH_010_020_000207	甲午，獵盤直坡。
HCH_010_020_000208	三月丁亥，幸皇太弟重元帳。
HCH_010_020_000209	夏四月癸卯，高麗遣使來貢。
HCH_010_020_000210	癸丑，獵合只忽裏。
HCH_010_020_000211	五月己巳，李諒祚乞進馬、駝，詔歲貢之。
HCH_010_020_000212	庚寅，駐蹕永安山。
HCH_010_020_000213	壬辰，夏國遣使來貢。
HCH_010_020_000214	六月丙申，如慶州。
HCH_010_020_000215	乙亥，謁慶陵。
HCH_010_020_000216	壬寅，高麗王徽請官其子，詔加檢校太尉。
HCH_010_020_000217	辛亥，吐蕃遣使來貢。
HCH_010_020_000218	秋七月己巳，夏國李諒祚遣使來求婚。
HCH_010_020_000219	甲戌，如秋山。
HCH_010_020_000220	己卯，詔八房族巾幘。
HCH_010_020_000221	九月庚寅，獵，遇三虎，縱犬獲之。
HCH_010_020_000222	冬十月丁酉，駐蹕中京。
HCH_010_020_000223	戊戌，幸新建秘書監。
HCH_010_020_000224	辛丑，有事於祖廟。
HCH_010_020_000225	癸丑，以開泰寺鑄銀佛像，曲赦在京囚。
HCH_010_020_000226	丙辰，李諒祚遣使進誓表。
HCH_010_020_000227	十一月乙丑，阻卜部長來貢。
HCH_010_020_000228	壬申，帝率群臣上皇太后尊號曰仁慈聖善欽孝廣德安靜貞純懿和寬厚崇覺儀天皇太后，大赦。
HCH_010_020_000229	內外官進級有差。
HCH_010_020_000230	癸未，錄囚。
HCH_010_020_000231	甲申，群臣上皇帝尊號曰欽天奉道佑世興歷武定文成聖神仁孝皇帝，冊皇后蕭氏曰貞懿慈和文惠孝敬廣愛崇聖皇后。
HCH_010_020_000232	十二月丙申，如中會川。
HCH_010_020_000233	二十四年春正月癸亥，如混同江。
HCH_010_020_000234	戊辰，朝皇太后。
HCH_010_020_000235	辛巳，宋遣使來賀，饋馴象。
HCH_010_020_000236	二月己丑朔，召宋使釣魚、賦詩。
HCH_010_020_000237	癸巳，如長春河。
HCH_010_020_000238	甲寅，夏國遣使來賀。
HCH_010_020_000239	三月癸亥，皇太弟重元生子，曲赦行在及長春、鎮北二州徒以下罪。
HCH_010_020_000240	夏五月，駐蹕南崖。
