HCH_012_004_000122	十二月甲午，燕兵犯濟寧，薄東昌。
HCH_012_004_000123	乙卯，盛庸擊敗之，斬其將張玉。
HCH_012_004_000124	丙辰，復戰，又敗之，燕兵走館陶。
HCH_012_004_000125	庸軍勢大振，檄諸屯軍合擊燕，絕其歸路。
HCH_012_004_000126	三年春正月辛酉朔，凝命神寶成，告天地宗廟，御奉天殿受朝賀。
HCH_012_004_000127	乙丑，吳傑、平安邀擊燕兵於深州，不利。
HCH_012_004_000128	辛未，大祀天地於南郊。
HCH_012_004_000129	丁丑，享太廟，告東昌捷。
HCH_012_004_000130	復齊泰、黃子澄官。
HCH_012_004_000131	三月辛巳，盛庸敗燕兵於夾河，斬其將譚淵。
HCH_012_004_000132	再戰不利，都指揮莊得、楚智等力戰死。
HCH_012_004_000133	壬午，復戰，敗績，庸走德州。
HCH_012_004_000134	丁亥，都督何福援德州。
HCH_012_004_000135	癸巳，貶齊泰、黃子澄，諭燕罷兵。
HCH_012_004_000136	閏月己亥，吳傑、平安及燕戰於藁城，敗績，還保真定。
HCH_012_004_000137	燕兵掠真定、順德、廣平、大名。
HCH_012_004_000138	棣上書請召還諸將息兵，遣大理少卿薛嵓報之。
HCH_012_004_000139	是月，禮制成，頒行天下。
HCH_012_004_000140	夏五月甲寅，盛庸以兵扼燕餉道，不克。
HCH_012_004_000141	棣復遣使上書，下其使於獄。
HCH_012_004_000142	六月壬申，燕將李遠寇沛縣，焚糧艘。
HCH_012_004_000143	壬午，都督袁宇邀擊之，敗績。
HCH_012_004_000144	秋七月己丑，燕兵掠彰德。
HCH_012_004_000145	丁酉，平安自真定攻北平。
HCH_012_004_000146	壬寅，大同守將房昭帥兵由紫荊關趨保定，駐易州西水寨。
HCH_012_004_000147	九月甲辰，平安及燕將劉江戰於北平，敗績，還保真定。
HCH_012_004_000148	冬十月丁巳，真定諸將遣兵援房昭，及燕王戰於齊眉山，敗績。
HCH_012_004_000149	十一月壬辰，遼東總兵官楊文攻永平，及劉江戰於昌黎，敗績。
HCH_012_004_000150	己亥，平安敗燕將李彬於楊村。
HCH_012_004_000151	十二月癸亥，燕兵焚真定軍儲。
HCH_012_004_000152	詔中官奉使侵暴吏民者，所在有司繫治。
HCH_012_004_000153	是月，駙馬都尉梅殷鎮淮安。
HCH_012_004_000154	太祖實錄成。
HCH_012_004_000155	四年春正月甲申，召故周王橚於蒙化，居之京師。
HCH_012_004_000156	燕兵連陷東阿、東平、汶上、兗州、濟陽，東平吏目鄭華，濟陽教諭王省皆死之。
HCH_012_004_000157	甲申，魏國公徐輝祖帥師援山東。
HCH_012_004_000158	燕兵陷沛縣，知縣顏伯瑋、主簿唐子清、典史黃謙死之。
HCH_012_004_000159	癸丑，薄徐州。
HCH_012_004_000160	二月甲寅，都督何福及陳暉、平安軍濟寧，盛庸軍淮上。
HCH_012_004_000161	己卯，更定品官勳階。
HCH_012_004_000162	三月，燕兵攻宿州，平安追及於淝河，斬其將王真，遇伏敗績，宿州陷。
HCH_012_004_000163	夏四月丁卯，何福、平安敗燕兵於小河，斬其將陳文。
HCH_012_004_000164	甲戌，徐輝祖等敗燕兵於齊眉山，斬其將李斌，燕兵懼，謀北歸。
HCH_012_004_000165	會帝聞訛言，謂燕兵已北，召輝祖還，何福軍亦孤。
HCH_012_004_000166	庚辰，諸將及燕兵大戰於靈璧，敗績，陳暉、平安、禮部侍郎陳性善、大理寺卿彭與明皆被執。
HCH_012_004_000167	五月癸未，楊文帥遼東兵赴濟南，潰於直沽。
HCH_012_004_000168	己丑，盛庸軍潰於淮上，燕兵渡淮，趨揚州。
HCH_012_004_000169	指揮王禮等叛降燕，御史王彬、指揮崇剛死之。
HCH_012_004_000170	辛丑，燕兵至六合，諸軍迎戰，敗績。
HCH_012_004_000171	壬寅，詔天下勤王，遣御史大夫練子寧、侍郎黃觀、修撰王叔英分道徵兵。
HCH_012_004_000172	召齊泰、黃子澄還。
HCH_012_004_000173	蘇州知府姚善、寧波知府王璡、徽州知府陳彥回、樂平知縣張彥方各起兵入衞。
HCH_012_004_000174	甲辰，遣慶成郡主如燕師，議割地罷兵。
HCH_012_004_000175	六月癸丑，盛庸帥舟師敗燕兵於浦子口，復戰不利。
HCH_012_004_000176	都督僉事陳瑄以舟師叛附於燕。
HCH_012_004_000177	乙卯，燕兵渡江，盛庸戰於高資港，敗績。
HCH_012_004_000178	戊午，鎮江守將童俊叛降燕。
HCH_012_004_000179	庚申，燕兵至龍潭。
HCH_012_004_000180	辛酉，命諸王分守都城，遣李景隆及兵部尚書茹瑺、都督王佐如燕軍，申前約。
HCH_012_004_000181	壬戌，復遣谷王橞、安王楹往。
HCH_012_004_000182	皆不聽。
HCH_012_004_000183	甲子，遣使齎蠟書四出，促勤王兵。
HCH_012_004_000184	乙丑，燕兵犯金川門，左都督徐增壽謀內應，伏誅。
HCH_012_004_000185	谷王橞及李景隆叛，納燕兵，都城陷。
HCH_012_004_000186	宮中火起，帝不知所終。
HCH_012_004_000187	燕王遣中使出帝后屍於火中，越八日壬申葬之。
HCH_012_004_000188	或云帝由地道出亡。
HCH_012_004_000189	正統五年，有僧自雲南至廣西，詭稱建文皇帝。
HCH_012_004_000190	思恩知府岑瑛聞於朝。
HCH_012_004_000191	按問，乃鈞州人楊行祥，年已九十餘，下獄，閱四月死。
HCH_012_004_000192	同謀僧十二人，皆戍遼東。
HCH_012_004_000193	自後滇、黔、巴、蜀間，相傳有帝為僧時往來跡。
HCH_012_004_000194	正德、萬曆、崇禎間，諸臣請續封帝後，及加廟諡，皆下部議，不果行。
HCH_012_004_000195	大清乾隆元年，詔廷臣集議，追諡曰恭閔惠皇帝。
HCH_012_004_000196	贊曰：惠帝天資仁厚。
HCH_012_004_000197	踐阼之初，親賢好學，召用方孝孺等。
HCH_012_004_000198	典章制度，銳意復古。
HCH_012_004_000199	嘗因病晏朝，尹昌隆進諫，即深自引咎，宣其疏於中外。
HCH_012_004_000200	又除軍衞單丁，減蘇、松重賦，皆惠民之大者。
HCH_012_004_000201	乃革命而後，紀年復稱洪武，嗣是子孫臣庶以紀載為嫌，草野傳疑，不無訛謬。
HCH_012_004_000202	更越聖朝，得經論定，尊名壹惠，君德用彰，懿哉。
