HCH_012_324_000107	占城人言，王孫請封之後，即為古來所殺，安南以偽敕立其國人提婆苔為王。
HCH_012_324_000108	義等不俟奏報，輒以印幣授提婆苔封之，得所賂黃金百餘兩，又往滿剌加國盡貨其私物以歸。
HCH_012_324_000109	義至海洋病死。
HCH_012_324_000110	瑾具其事，並上偽敕於朝。
HCH_012_324_000111	十七年，古來遣使朝貢，言：「安南破臣國時，故王弟槃羅茶悅逃居佛靈山。比天使齎封誥至，已為賊人執去，臣與兄齋亞麻弗菴潛竄山谷。後賊人畏懼天威，遣人訪覓臣兄，還以故地。然自邦都郎至占臘止五處，臣兄權國未幾，遽爾隕歿。臣當嗣立，不敢自專，仰望天恩，賜之冊印。臣國所有土地本二十七處，四府、一州、二十二縣。東至海，南至占臘，西至黎人山，北至阿本喇補，凡三千五百餘里。乞特諭交人，盡還本國。」
HCH_012_324_000112	章下廷議，英國公張懋等請特遣近臣有威望者二人往使。
HCH_012_324_000113	時安南貢使方歸，即賜敕詰責黎灝，令速還地，毋抗朝命。
HCH_012_324_000114	禮官乃劾瑾擅封，執下詔獄，具得其情，論死。
HCH_012_324_000115	時古來所遣使臣在館，召問之，云：「古來實王弟，其王病死，非弒。提婆苔不知何人。」
HCH_012_324_000116	乃命使臣暫歸廣東，俟提婆苔使至，審誠偽處之。
HCH_012_324_000117	使臣候命經年，提婆苔使者不至，乃令還國。
HCH_012_324_000118	二十，年敕古來撫諭提婆苔，使納原降國王印，宥其受偽封之罪，仍為頭目。
HCH_012_324_000119	提婆苔不受命，乃遣給事中李孟暘、行人葉應冊封古來為國王。
HCH_012_324_000120	孟暘等言：「占城險遠，安南構兵未已，提婆苔又竊據其地，稍或不慎，反損國威。宜令來使傳諭古來，詣廣東受封，並敕安南悔禍。」
HCH_012_324_000121	從之。
HCH_012_324_000122	古來乃自老撾挈家赴崖州，孟暘竣封事而返。
HCH_012_324_000123	古來又欲躬詣闕廷，奏安南之罪。
HCH_012_324_000124	二十三年，總督宋旻以聞。
HCH_012_324_000125	廷議遣大臣一人往勞，檄安南存亡繼絕，迎古來返占城。
HCH_012_324_000126	帝報可，命南京右都御史屠滽往。
HCH_012_324_000127	至廣東，即傳檄安南，宣示禍福。
HCH_012_324_000128	募健卒二千人，駕海舟二十艘，護古來還國。
HCH_012_324_000129	安南以滽大臣奉特遣，不敢抗，古來乃得入。
HCH_012_324_000130	明年，弘治改元，遣使入貢。
HCH_012_324_000131	二年遣弟卜古良赴廣東，言：「安南仍肆侵陵，乞如永樂時遣將督兵守護。」
HCH_012_324_000132	總督秦紘等以聞。
HCH_012_324_000133	兵部言：「安南、占城皆《祖訓》所載不征之國。永樂間命將出師，乃正黎賊弒逆之罪，非以鄰境交惡之故。今黎灝修貢惟謹，古來膚受之醞，容有過情，不可信其單詞，勞師不征之國。宜令守臣回咨，言近交人殺害王子古蘇麻，王即率眾敗之，仇恥已雪。王宜自強修政，撫飖國人，保固疆圉，仍與安南惇睦修好。其餘嫌細故，悉宜捐除。倘不能自強，專藉朝廷發兵渡海，代王守國，古無是理。」
HCH_012_324_000134	帝如其言。
HCH_012_324_000135	三年遣使謝恩。
HCH_012_324_000136	其國自殘破後，民物蕭條，貢使漸稀。
HCH_012_324_000137	十二年遣使奏：「本國新州港之地，仍為安南侵奪，患方未息。臣年已老，請及臣未死，命長子沙古卜洛襲封，庶他日可保國土。」
