HCH_012_252_000174	嗣昌以聞。
HCH_012_252_000175	帝發帑金五萬，營醫藥，責諸將進兵。
HCH_012_252_000176	而陜之長武，川之新寧、大竹，湖廣之羅田又相繼報陷。
HCH_012_252_000177	嗣昌乃下招撫令，為諭帖萬紙，散之賊中。
HCH_012_252_000178	七月，監軍孔貞會等大破汝才豐邑坪。
HCH_012_252_000179	其黨混世王、小秦王率其下降，賊魁整十萬及登相、王光恩亦相繼降，於是群賊盡萃於蜀中。
HCH_012_252_000180	嗣昌遂入川，以八月泛舟上，謂川地厄塞，諸軍合而蹙之，可盡殄。
HCH_012_252_000181	而人龍以秦師自開縣噪而西歸，應元等敗績於夔之土地嶺，獻忠勢復張，汝才與之合。
HCH_012_252_000182	聞督師西，遂急趨大昌，犯觀音巖，守將邵仲光不能禦，遂突凈壁，陷大昌。
HCH_012_252_000183	嗣昌斬仲光，劾逮四川巡撫邵捷春。
HCH_012_252_000184	賊遂渡河至通江，嗣昌至萬縣。
HCH_012_252_000185	賊攻巴州不下，嗣昌至梁山，檄諸將分擊。
HCH_012_252_000186	賊已陷劍州，趨保寧，將由間道入漢中。
HCH_012_252_000187	趙光遠、賀人龍拒之，賊乃轉掠，陷梓潼、昭化，抵綿州，將趨成都。
HCH_012_252_000188	十一月，嗣昌至重慶。
HCH_012_252_000189	賊攻羅江，不克，走綿竹。
HCH_012_252_000190	嗣昌至順慶，諸將不會師。
HCH_012_252_000191	賊轉掠至漢州，去中江百里，守將方國安避之去，賊遂縱掠什邡、綿竹、安縣、德陽、金堂間，所至空城而遁，全蜀大震。
HCH_012_252_000192	賊遂由水道下簡州、資陽。
HCH_012_252_000193	嗣昌征諸將合擊，皆退縮。
HCH_012_252_000194	屢征良玉兵，又不至。
HCH_012_252_000195	賊遂陷榮昌、永川。
HCH_012_252_000196	十二月，陷瀘州。
HCH_012_252_000197	自賊再入川，諸將無一邀擊者。
HCH_012_252_000198	嗣昌雖屢檄，令不行。
HCH_012_252_000199	其在重慶也，下令赦汝才罪，降則授官，惟獻忠不赦，擒斬者賚萬金，爵侯。
HCH_012_252_000200	翌日，自堂皇至庖湢，遍題「有斬督師獻者，賚白金三錢」，嗣昌駭愕，疑左右皆賊，勒三日進兵。
HCH_012_252_000201	會雨雪道斷，復戒期。
HCH_012_252_000202	三檄人龍，不奉令。
HCH_012_252_000203	初，嗣昌表良玉平賊將軍，良玉浸驕，欲貴人龍以抗之。
HCH_012_252_000204	既以瑪瑙山功不果，人龍慍，反以情告良玉，良玉亦慍，語載良玉、人龍傳。
HCH_012_252_000205	嗣昌雖有才，然好自用，躬親簿書，過於繁碎。
HCH_012_252_000206	軍行必自裁進止，千里待報，坐失機會。
HCH_012_252_000207	王鰲永嘗諫之，不納。
