HCH_012_138_000271	太祖悅，即命將其軍守鎮江。
HCH_012_138_000272	嚴飭軍伍，敵不敢犯。
HCH_012_138_000273	移守常州。
HCH_012_138_000274	其子叛，降張士誠，太祖知安仁忠謹，弗疑也。
HCH_012_138_000275	久之，遷浙江副使。
HCH_012_138_000276	悍帥橫斂民，名曰「寨糧」，安仁置於法。
HCH_012_138_000277	進按察使，征為中書左司郎中，佐李善長裁斷。
HCH_012_138_000278	調瑞州守禦千戶，入為將作卿。
HCH_012_138_000279	洪武元年擢工部尚書，仍領將作事。
HCH_012_138_000280	安仁精敏多智計，諸所營造，大小中程，甚稱帝意。
HCH_012_138_000281	逾年改兵部尚書。
HCH_012_138_000282	請老歸，賜田三千畝，牛七十角，歲給尚書半俸。
HCH_012_138_000283	六年起山東參政。
HCH_012_138_000284	懇辭，許之。
HCH_012_138_000285	家居，嘗奏請浚儀真南壩至樸樹灣，以便官民輸挽；疏轉運河江都深港以防淤淺；移瓜州倉ＣＣ置揚子橋西，免大江風潮之患。
HCH_012_138_000286	帝善其言，再授兵部尚書，致仕。
HCH_012_138_000287	初，尚書階正三品。
HCH_012_138_000288	十三年，中書省罷，始進為正二。
HCH_012_138_000289	而安仁致仕在前。
HCH_012_138_000290	帝念安仁勳舊，二十年特授資善大夫。
HCH_012_138_000291	其年十二月卒，年八十五。
HCH_012_138_000292	徐州硃守仁者，字元夫。
HCH_012_138_000293	元末亦以保障功官樞密同知，守舒城。
HCH_012_138_000294	明兵下廬州，以城來歸。
HCH_012_138_000295	曆官工部侍郎。
HCH_012_138_000296	洪武四年進尚書，奉命察山東官吏，稱旨。
HCH_012_138_000297	尋改北平行省參政，以饋餉不繼，謫蒼梧知縣。
HCH_012_138_000298	初，守仁知袁州，撫安創殘，民甚德之。
HCH_012_138_000299	至是連知容州、高唐州，皆有善政。
HCH_012_138_000300	十年進四川布政使，治尚簡嚴。
HCH_012_138_000301	以年老致仕。
HCH_012_138_000302	坐事罰輸作，特宥之。
HCH_012_138_000303	十五年，雲南平，改威楚、開南等路宣撫司為楚雄府，遂命守仁知府事。
HCH_012_138_000304	招集流移，均徭役，建學校，境內大治。
HCH_012_138_000305	二十八年上計入朝，郡人垂涕送之。
HCH_012_138_000306	拜太僕卿。
HCH_012_138_000307	首請立牧馬草場于江北滁州諸處。
HCH_012_138_000308	所轄十四監九十八群。
HCH_012_138_000309	馬大蕃息。
HCH_012_138_000310	馬政之修，自守仁始。
HCH_012_138_000311	久之，致仕。
