HCH_012_002_000064	蒙古、色目人有才能者，許擢用。
HCH_012_002_000065	鰥寡孤獨廢疾者，存恤之。
HCH_012_002_000066	民年七十以上，一子復。
HCH_012_002_000067	他利害當興革不在詔內者，有司具以聞。
HCH_012_002_000068	壬午，幸北京。
HCH_012_002_000069	改大都路曰北平府。
HCH_012_002_000070	徵元故臣。
HCH_012_002_000071	癸未，詔徐達、常遇春取山西。
HCH_012_002_000072	甲午，放元宮人。
HCH_012_002_000073	九月癸亥，詔曰：「天下之治，天下之賢共理之。今賢士多隱巖穴，豈有司失於敦勸歟，朝廷疏於禮待歟，抑朕寡昧不足致賢，將在位者壅蔽使不上達歟。不然，賢士大夫，幼學壯行，豈甘沒世而已哉。天下甫定，朕願與諸儒講明治道。有能輔朕濟民者，有司禮遣。」
HCH_012_002_000074	乙丑，常遇春下保定，遂下真定。
HCH_012_002_000075	冬十月庚午，馮勝、湯和下懷慶，澤、潞相繼下。
HCH_012_002_000076	丁丑，至自北京。
HCH_012_002_000077	戊寅，以元都平，詔天下。
HCH_012_002_000078	十一月己亥，遣使分行天下，訪求賢才。
HCH_012_002_000079	庚子，始祀上帝於圜丘。
HCH_012_002_000080	癸亥，詔劉基還。
HCH_012_002_000081	十二月丁卯，徐達克太原，擴廓帖木兒走甘肅，山西平。
HCH_012_002_000082	己巳，置登聞鼓。
HCH_012_002_000083	壬辰，以書諭明昇。
HCH_012_002_000084	二年春正月乙巳，立功臣廟於雞籠山。
HCH_012_002_000085	丁未，享太廟。
HCH_012_002_000086	庚戌，詔曰：「朕淮右布衣，因天下亂，率眾渡江，保民圖治，今十有五年。荷天眷祐，悉皆戡定。用是命將北征，齊、魯之民饋糧給軍，不憚千里。朕軫厥勞，已免元年田租。遭旱民未蘇，其更賜一年。頃者，大軍平燕都，下晉、冀，民被兵燹，困征斂，北平、燕南、河東、山西今年田租亦與蠲免。河南諸郡歸附，久欲惠之，西北未平，師過其地，是以未遑。今晉、冀平矣，西抵潼關，北界大河，南至唐、鄧、光、息，今年稅糧悉除之。」
HCH_012_002_000087	又詔曰：「應天、太平、鎮江、宣城、廣德供億浩穰。去歲蠲租，遇旱惠不及下。其再免諸郡及無為州今年租稅。」
HCH_012_002_000088	庚申，常遇春取大同。
HCH_012_002_000089	是月，倭寇山東濱海郡縣。
HCH_012_002_000090	二月丙寅朔，詔修《元史》。
HCH_012_002_000091	壬午，耕耤田。
HCH_012_002_000092	三月庚子，徐達至奉元，張思道遁。
HCH_012_002_000093	振陝西饑，戶米三石。
HCH_012_002_000094	丙午，常遇春至鳳翔，李思齊奔臨洮。
HCH_012_002_000095	夏四月丙寅，遇春還師北平。
HCH_012_002_000096	己巳，諸王子受經於博士孔克仁。
HCH_012_002_000097	令功臣子弟入學。
HCH_012_002_000098	乙亥，編祖訓錄，定封建諸王之制。
HCH_012_002_000099	徐達下鞏昌。
HCH_012_002_000100	丙子，賜秦、隴新附州縣稅糧。
HCH_012_002_000101	丁丑，馮勝至臨洮，李思齊降。
HCH_012_002_000102	乙酉，徐達襲破元豫王於西安。
HCH_012_002_000103	五月甲午朔，日有食之。
HCH_012_002_000104	丁酉，徐達下平涼、延安。
HCH_012_002_000105	張良臣以慶陽降，尋叛。
HCH_012_002_000106	癸卯，始祀地於方丘。
HCH_012_002_000107	六月己卯，常遇春克開平，元帝北走。
HCH_012_002_000108	壬午，封陳日煃為安南國王。
HCH_012_002_000109	秋七月己亥，鄂國公常遇春卒於軍，詔李文忠領其眾。
HCH_012_002_000110	辛亥，擴廓帖木兒遣將破原州、涇州。
HCH_012_002_000111	辛酉，馮勝擊走之。
HCH_012_002_000112	丙辰，明昇遣使來。
HCH_012_002_000113	八月丙寅，元兵攻大同，李文忠擊敗之。
HCH_012_002_000114	己巳，定內侍官制。
HCH_012_002_000115	諭吏部曰：「內臣但備使令，毋多人。古來若輩擅權，可為鑒戒。馭之之道，當使之畏法，勿令有功，有功則驕恣矣。」
HCH_012_002_000116	癸酉，《元史》成。
HCH_012_002_000117	丙子，封王顓為高麗國王。
HCH_012_002_000118	癸未，徐達克慶陽，斬張良臣，陝西平。
HCH_012_002_000119	是月，命儒臣纂禮書。
HCH_012_002_000120	九月辛丑，召徐達、湯和還，馮勝留總軍事。
HCH_012_002_000121	癸卯，以臨濠為中都。
HCH_012_002_000122	戊午，征南師還。
HCH_012_002_000123	冬十月壬戌，遣楊璟諭明昇。
HCH_012_002_000124	甲戌，甘露降於鍾山，羣臣請告廟，不許。
HCH_012_002_000125	辛卯，詔天下郡縣立學。
HCH_012_002_000126	是月，遣使貽元帝書。
HCH_012_002_000127	十一月乙巳，祀上帝於圜丘，以仁祖配。
HCH_012_002_000128	十二月甲戌，封阿答阿者為占城國王。
HCH_012_002_000129	甲申，振西安諸府饑，戶米二石。
HCH_012_002_000130	己丑，大賚平定中原及征南將士。
HCH_012_002_000131	庚寅，擴廓帖木兒攻蘭州，指揮于光死之。
HCH_012_002_000132	是年，占城、安南、高麗入貢。
HCH_012_002_000133	三年春正月癸巳，徐達為征虜大將軍，李文忠、馮勝、鄧愈、湯和副之，分道北征。
HCH_012_002_000134	二月癸未，追封郭子興滁陽王。
HCH_012_002_000135	戊子，詔求賢才可任六部者。
HCH_012_002_000136	是月，李文忠下興和，進兵察罕腦兒，執元平章竹貞。
HCH_012_002_000137	三月庚寅，免南畿，河南，山東，北平，浙東，江西廣信、饒州今年田租。
HCH_012_002_000138	夏四月乙丑，封皇子樉為秦王，棡晉王，棣燕王，橚吳王，楨楚王，榑齊王，梓潭王，𣏌趙王，檀魯王，從孫守謙靖江王。
HCH_012_002_000139	徐達大破擴廓帖木兒於沈兒峪，盡降其眾，擴廓走和林。
HCH_012_002_000140	丙戌，元帝崩於應昌，子愛猷識理達臘嗣。
HCH_012_002_000141	是月，慈利土官覃垕作亂。
HCH_012_002_000142	五月己丑，徐達取興元。
HCH_012_002_000143	分遣鄧愈招諭吐蕃。
HCH_012_002_000144	丁酉，詔守令舉學識篤行之士。
HCH_012_002_000145	己亥，設科取士。
HCH_012_002_000146	甲辰，李文忠克應昌。
HCH_012_002_000147	元嗣君北走，獲其子買的里八剌，降五萬餘人，窮追至北慶州，不及而還。
HCH_012_002_000148	丁未，詔行大射禮。
HCH_012_002_000149	戊申，祀地於方丘，以仁祖配。
HCH_012_002_000150	辛亥，徐達下興元。
HCH_012_002_000151	鄧愈克河州。
HCH_012_002_000152	丁巳，詔開國時將帥無嗣者祿其家。
HCH_012_002_000153	是月旱，齋戒，后妃親執爨，皇太子諸王饋於齋所。
HCH_012_002_000154	六月戊午朔，素服草屨，步禱山川壇，露宿凡三日，還齋於西廡。
HCH_012_002_000155	辛酉，賚將士，省獄囚，命有司訪求通經術明治道者。
HCH_012_002_000156	壬戌，大雨。
HCH_012_002_000157	壬申，李文忠捷奏至，命仕元者勿賀。
HCH_012_002_000158	諡元主曰順帝。
HCH_012_002_000159	癸酉，買的里八剌至京師，羣臣請獻俘。
HCH_012_002_000160	帝曰：「武王伐殷用之乎？」
HCH_012_002_000161	省臣以唐太宗嘗行之對。
HCH_012_002_000162	帝曰：「太宗是待王世充耳。若遇隋之子孫，恐不爾也。」
HCH_012_002_000163	遂不許。
HCH_012_002_000164	又以捷奏多侈辭，謂宰相曰：「元主中國百年，朕與卿等父母皆賴其生養，奈何為此浮薄之言，亟改之。」
HCH_012_002_000165	乙亥，封買的里八剌為崇禮侯。
HCH_012_002_000166	丙子，告捷於南郊。
HCH_012_002_000167	丁丑，告太廟，詔示天下。
HCH_012_002_000168	辛巳，徙蘇州、松江、嘉興、湖州、杭州民無業者田臨濠，給資糧牛種，復三年。
HCH_012_002_000169	是月，倭寇山東、浙江、福建濱海州縣。
HCH_012_002_000170	秋七月丙辰，明昇將吳友仁寇漢中，參政傅友德擊卻之。
HCH_012_002_000171	中書左丞楊憲有罪誅。
HCH_012_002_000172	八月乙酉，遣使瘞中原遺骸。
HCH_012_002_000173	冬十月丙辰，詔儒士更直午門，為武臣講經史。
HCH_012_002_000174	癸亥，周德興為征南將軍，討覃垕，垕遁。
HCH_012_002_000175	辛巳，貽元嗣君書。
