HCH_012_073_000230	景泰初，耿九疇以刑部侍郎出鎮，文移不得徑下按察司，特改都御史巡撫。
HCH_012_073_000231	成化二年，加提督軍務，後改贊理，駐西安，防秋駐固原。
HCH_012_073_000232	巡撫四川等處地方兼提督軍務一員。
HCH_012_073_000233	宣德五年，命都御史鎮撫，後停遣。
HCH_012_073_000234	正統十四年，始設巡撫。
HCH_012_073_000235	萬曆十一年，加提督軍務。
HCH_012_073_000236	巡撫湖廣等處地方兼贊理軍務一員。
HCH_012_073_000237	正統三年，命都御史賈諒鎮守，以後或侍郎或大理卿出撫。
HCH_012_073_000238	景泰元年定設巡撫都御史兼贊理軍務。
HCH_012_073_000239	萬曆八年，改為提督軍務。
HCH_012_073_000240	十二年，仍為贊理。
HCH_012_073_000241	巡撫江西地方兼理軍務一員。
HCH_012_073_000242	永樂後，間設巡撫鎮守。
HCH_012_073_000243	成化以後，定為巡撫，或有時罷遣。
HCH_012_073_000244	嘉靖六年始定設。
HCH_012_073_000245	四十年加兼理軍務。
HCH_012_073_000246	巡撫南贛汀韶等處地方提督軍務一員。
HCH_012_073_000247	弘治十年，始設巡撫。
HCH_012_073_000248	正德十一年，改提督軍務。
HCH_012_073_000249	嘉靖四十五年，定巡撫銜，所轄南安、贛州、南雄、韶州、汀州並郴州地方，駐贛州。
HCH_012_073_000250	巡撫廣東地方兼贊理軍務一員。
HCH_012_073_000251	永樂中，設巡撫，後以總督兼巡撫事，遂罷不設。
HCH_012_073_000252	嘉靖四十五年，復另設巡撫，加贊理軍務。
HCH_012_073_000253	隆慶四年又罷。
HCH_012_073_000254	巡撫廣西地方一員。
HCH_012_073_000255	廣西舊有巡撫，沿革不常。
HCH_012_073_000256	隆慶三年復專設。
HCH_012_073_000257	巡撫雲南兼建昌、畢節等處地方贊理軍務兼督川、貴糧餉一員。
HCH_012_073_000258	正統九年，命侍郎參贊軍務。
HCH_012_073_000259	十年，設鎮撫。
HCH_012_073_000260	天順元年罷。
HCH_012_073_000261	成化十二年復設。
HCH_012_073_000262	嘉靖三十年，加兼理軍務。
HCH_012_073_000263	四十三年，改贊理。
HCH_012_073_000264	隆慶二年，兼撫建昌、畢節等處。
HCH_012_073_000265	巡撫貴州兼督理湖北、川東等處地方提督軍務一員。
HCH_012_073_000266	正統十四年，以苗亂置總督，鎮守貴州、湖北、川東等處。
HCH_012_073_000267	景泰元年，另設貴州巡撫。
HCH_012_073_000268	成化八年罷。
HCH_012_073_000269	十一年復設。
HCH_012_073_000270	正德二年又罷。
HCH_012_073_000271	五年又復設。
HCH_012_073_000272	嘉靖四十二年，裁革總督，令巡撫兼理湖北、川東等處提督軍務。
HCH_012_073_000273	巡撫天津地方贊理軍務一員。
HCH_012_073_000274	萬曆二十五年，以倭陷朝鮮暫設，尋為定制。
HCH_012_073_000275	巡撫登萊地方贊理軍務一員。
HCH_012_073_000276	天啟元年設。
HCH_012_073_000277	崇禎二年罷。
HCH_012_073_000278	三年復設。
HCH_012_073_000279	巡撫安廬地方贊理軍務一員。
HCH_012_073_000280	崇禎十年設，以史可法為之。
HCH_012_073_000281	十六年，又增設安、太、池、廬四府巡撫。
HCH_012_073_000282	巡撫偏沅地方贊理軍務一員。
HCH_012_073_000283	萬曆二十七年，以徵播暫設，尋罷。
HCH_012_073_000284	天啟二年後，或置或罷。
HCH_012_073_000285	崇禎二年定設。
HCH_012_073_000286	巡撫密雲地方贊理軍務一員。
HCH_012_073_000287	崇禎十一年設。
HCH_012_073_000288	巡撫淮揚地方贊理軍務一員。
HCH_012_073_000289	崇禎十一年設。
HCH_012_073_000290	巡撫承天贊理軍務一員。
HCH_012_073_000291	崇禎十六年設。
HCH_012_073_000292	撫治鄖陽等處地方兼提督軍務一員，成化十二年，以鄖、襄流民屢叛，遣都御史安撫，因奏設官撫治之。
HCH_012_073_000293	萬曆二年以撫治事權不專，添提督軍務兼撫治職銜。
HCH_012_073_000294	九年裁革，十一年復設。
HCH_012_073_000295	贊理松潘地方軍務一員。
HCH_012_073_000296	正統四年，以王翱為之。
HCH_012_073_000297	通政使司。
HCH_012_073_000298	通政使一人，正三品；左、右通政各一人，謄黃右通政一人，正四品；左、右參議各一人，正五品。
HCH_012_073_000299	其屬，經歷司，經歷一人，正七品；知事一人，正八品。
HCH_012_073_000300	通政使，掌受內外章疏敷奏封駁之事。
HCH_012_073_000301	凡四方陳情建言，申訴冤滯，或告不法等事，於底簿內謄寫訴告緣由，齎狀奏聞。
HCH_012_073_000302	凡天下臣民實封入遞，即於公廳啟視，節寫副本，然後奏聞。
HCH_012_073_000303	即五軍、六部、都察院等衙門，有事關機密重大者，其入奏仍用本司印信。
HCH_012_073_000304	凡諸司公文、勘合辨驗允當，編號注寫，公文用「日照之記」、勘合用「驗正之記。」
HCH_012_073_000305	關防之。
HCH_012_073_000306	凡在外之題本、奏本，在京之奏本，並受之，於早朝匯而進之。
HCH_012_073_000307	有逕自封進者則參駁。
HCH_012_073_000308	午朝則引奏臣民之言事者，有機密則不時入奏。
HCH_012_073_000309	有違誤則籍而匯請。
HCH_012_073_000310	凡抄發、照駁諸司公移及勘合、訟牒、勾提件數、給繇人員，月終類奏，歲終通奏。
HCH_012_073_000311	凡議大政、大獄及會推文武大臣，必參預。
HCH_012_073_000312	初，洪武三年置察言司，設司令二人，掌受四方章奏，尋罷。
HCH_012_073_000313	十年置通政使司，以曾秉正為通政使，劉仁為左通政，諭之曰：「政猶水也，欲其常通，故以『通政』名官。卿其審命令以正百司，達幽隱以通庶務。當執奏者勿忌避，當駁正者勿阿隨，當敷陳者毋隱蔽，當引見者毋留難。」
HCH_012_073_000314	十二年，撥承敕監給事中、殿廷儀禮司、九關通事使隸焉。
HCH_012_073_000315	建文中，改司為寺，通政使為通政卿，通政參議為少卿，寺丞增置左、右補闕，左、右拾遺各一人。
HCH_012_073_000316	成祖復舊制。
HCH_012_073_000317	成化二年，置提督謄黃右通政，不理司事，錄武官黃衛所襲替之故，以徵贊事。
HCH_012_073_000318	萬曆九年革。
HCH_012_073_000319	大理寺。
HCH_012_073_000320	卿一人，正三品；左、右少卿各一人，正四品；左、右寺丞各一人，正五品。
HCH_012_073_000321	其屬，司務廳，司務二人，從九品；左、右二寺，各寺正一人，正六品；寺副二人，從六品，後革右寺副一人；評事四人，正七品，初設右評事八人，後革四人。
HCH_012_073_000322	卿，掌審讞平反刑獄之政令。
