HCH_012_313_000111	聞王師至，聚眾扼下關。
HCH_012_313_000112	下關者，南詔皮羅閣所築龍尾關也，號極險。
HCH_012_313_000113	玉等至品甸，遣定遠侯王弼以兵由洱水東趨上關，為掎角勢，自率眾抵下關，造攻具。
HCH_012_313_000114	遣都督胡海洋由石門間道夜渡河，繞出點蒼山後，攀木援崖而上，立旗幟。
HCH_012_313_000115	昧爽，軍抵下關者望見，皆踴躍讙噪，蠻眾驚亂。
HCH_012_313_000116	英身先士卒，策馬渡河，水沒馬腹，將士隨之，遂斬關入。
HCH_012_313_000117	蠻兵潰，拔其城，酋長段世就擒。
HCH_012_313_000118	世與明皆段寶子也。
HCH_012_313_000119	至京師，帝傳諭曰：「爾父寶曾有降表，朕不忍廢。」
HCH_012_313_000120	賜長子名歸仁，授永昌衛鎮撫；次子名歸義，授雁門鎮撫。
HCH_012_313_000121	大理悉定，因改大理路為大理府，置衛，設指揮使司。
HCH_012_313_000122	十六年，品甸土酋杜惠來朝，命為千夫長。
HCH_012_313_000123	命六安侯王誌、安慶侯仇成、鳳翔侯張龍督兵往雲南品甸，繕城池，立屯堡，置郵傳，安輯人民。
HCH_012_313_000124	十七年以土官阿這為鄧川知州，阿散為太和府正千夫長，李朱為副千夫長，楊奴為雲南縣丞。
HCH_012_313_000125	十九年置雲南洱海衛指揮使司，以賴鎮為指揮僉事。
HCH_012_313_000126	洱海，本品甸也。
HCH_012_313_000127	兵燹後，人民流亡，室廬無復存者。
HCH_012_313_000128	鎮至，復城池，建譙樓，治廬舍市裏，修屯堡、堤防、斥堠，又開白鹽井，民始安輯。
HCH_012_313_000129	二十年詔景川侯曹震及四川都司選精兵二萬五千人，給軍器農具，即雲南品甸屯種，以俟征討。
HCH_012_313_000130	永樂以後，雲南諸土官州縣，率按期入貢，進馬及方物，朝廷賜予如制。
HCH_012_313_000131	嘉靖元年改十二關長官司於一泡江之西，從巡撫何孟春奏也。
HCH_012_313_000132	臨安，古句町國。
HCH_012_313_000133	漢置縣。
HCH_012_313_000134	唐為羈縻牁州地。
HCH_012_313_000135	天寶末，南詔蒙氏於此置通海郡。
HCH_012_313_000136	元時內附，置阿僰部萬戶府。
HCH_012_313_000137	至元中改臨安路，屬臨安、廣西、元江等處宣慰司。
HCH_012_313_000138	洪武十四年，征南將軍下雲南，遣宣德侯金朝興分道取臨安。
HCH_012_313_000139	元右丞兀卜臺、元帥完者都及土官楊政降，改路為府，廢宣慰司，置臨安衛指揮使司。
HCH_012_313_000140	十七年以土官和寧為阿迷知州，弄甥為寧州知州，陸羨為蒙自知縣，普少為納婁茶甸副長官；俱來朝貢，因給誥敕冠帶以命之。
HCH_012_313_000141	十八年，臨安府千戶納速丁等來朝，人賜米十石。
HCH_012_313_000142	永樂九年，溪處甸長官司副長官自恩來朝，貢馬及金銀器，賜賚如例。
HCH_012_313_000143	自恩因言：「本司歲納海<貝巴>七萬九千八百索，非土所產，乞準鈔銀為便。」
HCH_012_313_000144	戶部以洪武中定額，難準折輸。
HCH_012_313_000145	帝曰：「取有於無，適以厲民，況彼遠夷，尤當寬恤，其除之。」
HCH_012_313_000146	宣德五年，中官雲仙還自雲南，奏設東山口巡檢司，以故土官後普覺為巡檢。
HCH_012_313_000147	八年，虧容甸長官司奏：「河底自洪武中官置渡船，路通車裏、八百。近年軍民有逃逸出境詐稱使者，迫令乘載，往往被害，又沿河時有劫盜出沒。乞置巡檢司，以故把事袁凱之子瑀為巡檢。」
HCH_012_313_000148	從之。
HCH_012_313_000149	嘉靖元年復設寧州流官知州，掌州事，土知州祿氏專職巡捕。
HCH_012_313_000150	寧州舊設流官，正德初，土官祿俸陰賄劉瑾罷之。
HCH_012_313_000151	遂交通彌勒州十八寨強賊為亂，為官軍捕誅，其子祿世爵復以罪論死。
HCH_012_313_000152	撫按請仍設流官，從之。
HCH_012_313_000153	初，臨安阿迷州土官普柱，洪武中為土知州。
HCH_012_313_000154	後設流，錄其後覺為東山巡檢，既而以他事廢。
HCH_012_313_000155	正德二年以廣西維摩、王弄山與阿迷接壤，盜出沒，仍令普覺後納繼前職。
HCH_012_313_000156	普維藩者，與寧州祿氏構兵，師殲焉。
HCH_012_313_000157	維藩子名聲，幼育於官，既長，有司俾繼父職。
HCH_012_313_000158	名聲收拾舊部，勇於攻戰，從討奢安有功，仍授土知州，漸驕恣。
HCH_012_313_000159	崇禎五年，御史趙洪範按部，名聲不出迎。
HCH_012_313_000160	已，出戈甲旗幟列數里。
HCH_012_313_000161	洪範大怒，謀之巡撫王伉，請討，得旨。
HCH_012_313_000162	官軍進圍州城，名聲恐，使人約降，而陰以重賄求援於元謀土官吾必奎。
HCH_012_313_000163	時官軍已調必奎隨征，必奎與名聲戰，兵始合，佯敗走。
HCH_012_313_000164	官軍望見，遂大潰，布政使周士昌戰死。
HCH_012_313_000165	朝廷以起釁罪伉，逮治，而名聲就撫。
HCH_012_313_000166	然驕恣益甚，當事者頗以為患。
HCH_012_313_000167	已而廣西知府張繼孟道出阿迷，以計毒殺之。
HCH_012_313_000168	必奎聞名聲死，遂反，連陷武定、祿豐、楚雄諸城。
HCH_012_313_000169	寧州土官祿永命、石屏州土目龍在田，俱與必奎、名聲從征著名，至是，黔國公沐天波檄之統兵，合剿擒必奎。
HCH_012_313_000170	名聲妻萬氏，本江西寄籍女，淫而狡。
HCH_012_313_000171	名聲死後，改嫁王弄山副長官沙源之子定洲。
HCH_012_313_000172	名聲有子曰服遠，與萬氏分寨居，定洲誘殺服遠，並其地。
