HCH_011_003_000202	中領軍蕭昂爲領軍將軍。
HCH_011_003_000203	戊子，魏巴州刺史嚴始欣以城降。
HCH_011_003_000204	十二月丁巳，盤盤國遣使獻方物。
HCH_011_003_000205	二年春正月戊寅，以雍州刺史晉安王綱爲驃騎大將軍、揚州刺史，南徐州刺史廬陵王續爲平北將軍、雍州刺史。
HCH_011_003_000206	癸未，老人星見。
HCH_011_003_000207	夏四月庚申，大雨雹。
HCH_011_003_000208	壬申，以河南王佛輔爲寧西將軍、西秦、河二州刺史。
HCH_011_003_000209	六月丁巳，遣魏太保汝南王元悅還北爲魏主。
HCH_011_003_000210	庚申，以魏尚書左僕射范遵爲安北將軍、司州牧，隨元悅北討。
HCH_011_003_000211	林邑國遣使獻方物。
HCH_011_003_000212	壬申，扶南國遣使獻方物。
HCH_011_003_000213	秋八月庚戌，輿駕幸德陽堂，設絲竹會，祖送魏主元悅。
HCH_011_003_000214	山賊聚結，寇會稽郡所部縣。
HCH_011_003_000215	九月壬午，假超武將軍湛海珍節以討之。
HCH_011_003_000216	三年春正月辛巳，輿駕親祠南郊，大赦天下，孝悌力田賜爵一級。
HCH_011_003_000217	丙申，以魏尚書僕射鄭先護爲征北大將軍。
HCH_011_003_000218	二月辛丑，輿駕親祠明堂。
HCH_011_003_000219	甲寅，老人星見。
HCH_011_003_000220	乙卯，特進蕭琛卒。
HCH_011_003_000221	乙丑，以廣州刺史元景隆爲安右將軍。
HCH_011_003_000222	夏四月乙巳，皇太子統薨。
HCH_011_003_000223	六月丁未，以前太子詹事蕭淵猷爲中護軍。
HCH_011_003_000224	尚書僕射徐勉加特進、右光祿大夫。
HCH_011_003_000225	丹丹國遣使獻方物。
HCH_011_003_000226	癸丑，立昭明太子子南徐州刺史華容公歡爲豫章郡王，枝江公譽爲河東郡王，曲阿公察爲岳陽郡王。
HCH_011_003_000227	秋七月乙亥，立晉安王綱爲皇太子。
HCH_011_003_000228	大赦天下，賜爲父後者及出處忠孝文武清勤，並賜爵一級。
HCH_011_003_000229	乙酉，以侍中、五兵尚書謝舉爲吏部尚書。
HCH_011_003_000230	庚寅，詔曰：「推恩六親，義彰九族，班以侯爵，亦曰惟允。凡是宗戚有服屬者，並可賜沐食鄉亭侯，各隨遠近以爲差次。其有昵親，自依舊章。」
HCH_011_003_000231	壬辰，以吏部尚書何敬容爲尚書右僕射。
HCH_011_003_000232	癸巳，老人星見。
HCH_011_003_000233	九月庚午，以太子詹事蕭淵藻爲征北將軍、南兗州刺史。
HCH_011_003_000234	戊寅，狼牙脩國奉表獻方物。
HCH_011_003_000235	冬十月己酉，行幸同泰寺，高祖升法座，爲四部衆說《大般若涅盤經》義，迄于乙卯。
HCH_011_003_000236	前樂山縣侯蕭正則有罪流徙，至是招誘亡命，欲寇廣州，在所討平之。
HCH_011_003_000237	十一月乙未，行幸同泰寺，高祖升法座，爲四部從說《摩訶般若波羅蜜經》義，訖于十二月辛丑。
HCH_011_003_000238	是歲，吳興郡生野穀，堪食。
HCH_011_003_000239	四年春正月丙寅朔，以鎮衛大將軍、開府儀同三司南平王偉進位大司馬，司空元法僧進太尉，尚書令、中權大將軍、開府儀同三司袁昂進位司空。
HCH_011_003_000240	立臨川靖惠王宏子正德爲臨賀郡王。
HCH_011_003_000241	戊辰，以丹陽尹卲陵王綸爲揚州刺史。
HCH_011_003_000242	太子右衛率薛法護爲平北將軍、司州牧，衛送元悅入洛。
HCH_011_003_000243	庚午，立嫡皇孫大器爲宣城郡王。
HCH_011_003_000244	癸未，魏南兗州刺史劉世明以城降，改魏南兗州爲譙州，以世明爲刺史。
HCH_011_003_000245	二月壬寅，老人星見。
HCH_011_003_000246	新除太尉元法僧還北，爲東魏主。
HCH_011_003_000247	以安右將軍元景隆爲征北將軍、徐州刺史，雲麾將軍羊侃爲安北將軍、兗州刺史，散騎常侍元樹爲鎮北將軍。
HCH_011_003_000248	庚戌，新除揚州刺史卲陵王綸有罪，免爲庶人。
HCH_011_003_000249	壬子，以江州刺史武陵王紀爲揚州刺史，領軍將軍蕭昂爲江州刺史。
HCH_011_003_000250	丙辰，卲陵縣獲白鹿一。
HCH_011_003_000251	三月庚午，侍中、領國子博士蕭子顯上表置制旨《孝經》助教一人，生十人，專通高祖所釋《孝經義》。
HCH_011_003_000252	夏四月壬申，盤盤國遣使獻方物。
HCH_011_003_000253	秋七月甲辰，星隕如雨。
HCH_011_003_000254	八月丙子，特進陸杲卒。
HCH_011_003_000255	九月乙巳，以太子詹事南平王世子恪爲領軍將軍，平北將軍、雍州刺史廬陵王續爲安北將軍，西中郎將、荊州刺史湘東王繹爲平西將軍，司空袁昂領尚書令。
HCH_011_003_000256	十一月己酉，高麗國遣使獻方物。
HCH_011_003_000257	十二月庚辰，以太尉元法僧爲驃騎大將軍、開府同三司之儀、郢州刺史。
HCH_011_003_000258	五年春正月辛卯，輿駕親祠南郊，大赦天下，孝悌力田賜爵一級。
HCH_011_003_000259	先是一日丙夜，南郊令解滌之等到郊所履行，忽聞空中有異香三隨風至，及將行事，奏樂迎神畢，有神光滿壇上，硃紫黃白雜色，食頃方滅。
