HCH_013_075_000227	上以藩封重地，切責河南巡撫樊尚燝殺賊自贖。
HCH_013_075_000228	賊旣盡向河北，山西巡撫宋統殷、備兵冀北王肇生率軍次陵川，扼賊北歸。
HCH_013_075_000229	賊北走，遇官軍，賊死鬬，互相勝負。
HCH_013_075_000230	會夜與賊爭險，對營兩山頭，賊緣窮谷而登，大譟，官軍亂，統殷、肇生皆走，與諸軍相失。
HCH_013_075_000231	宣大總督張宗衡將兵至高平，統殷、肇生以師畢會，大破賊於桑子鎭，賊復入沁水。
HCH_013_075_000232	十月，詔副總兵左良玉將兵二千五百人援懷慶。
HCH_013_075_000233	癸未，王承恩敗安塞遺賊於西川胡堡，賊目喬六自斬其魁以黨降，餘遁，延、綏稍寧。
HCH_013_075_000234	十一月，罷山西巡撫宋統殷，以許鼎臣代之。
HCH_013_075_000235	十二月，張宗衡、許鼎臣同逐賊臨縣，賊轉入盤磨山，山方六百里，賊閻正虎據交城、文水以窺太原，邢滿川、上天龍據吳城、向陽以窺汾州；紫金梁以秦、豫毛兵俱集澤潞東南，遂乘虛從沁州而北，入榆次，又入壽陽，距太原不五十里。
HCH_013_075_000236	許鼎臣撤師北歸。
HCH_013_075_000237	時賊首亂世王與紫金梁爭一掠婦，搆小隙，遣其弟混天王來歸。
HCH_013_075_000238	廷議方督進討，諸將諱言受降，權辭謝之，約得紫金梁頭，始爲請於朝。
HCH_013_075_000239	混天王唯唯，泣涕而去。
HCH_013_075_000240	亂世王與破甲錐合謀，圖紫金梁。
HCH_013_075_000241	賊分爲三，陷霍、垣曲、長子諸縣。
HCH_013_075_000242	壬辰，陷遼州，是日除夕也。
HCH_013_075_000243	是月，趙和尚等賊斬其魁霍維端以降，諸將分領入營，還宜君。
HCH_013_075_000244	六年正月丁酉，賊闌入畿南西山，距順德百里。
HCH_013_075_000245	時大隊在山西，分爲二：一北向，西犯平縣，窺固關；一南向河北。
HCH_013_075_000246	懷、衞之間，盡遭蹂躪矣。
HCH_013_075_000247	丁未，左良玉敗賊於涉縣西，斬其渠。
HCH_013_075_000248	賊望其旗幟皆靡，然賊勢尚熾，謀渡河南犯。
HCH_013_075_000249	癸丑，進曹文詔都督同知。
HCH_013_075_000250	文詔連敗賊於忻、代間，斬首千五百級。
HCH_013_075_000251	二月，許鼎臣、曹文詔屯平定，張應昌屯汾州，駐太原東西以禦寇。
HCH_013_075_000252	賊踞林縣山中，饑民相望而起。
HCH_013_075_000253	左良玉敗績於武安，河南兵七千，先後失亡殆盡，賊益熾。
HCH_013_075_000254	左良玉勢孤，乃請鄧玘兵相援。
HCH_013_075_000255	備兵井陘副使寇從化檄守備李定、王國璽逐賊畿輔，陷賊伏中，兵敗，死亡畧盡。
HCH_013_075_000256	賊長驅保定，備兵副使盧象昇禦卻之。
HCH_013_075_000257	曹文詔敗賊於榆社。
HCH_013_075_000258	時文詔屢捷，張應昌逗遛不進，紫金梁、老回回從榆社敗，北奔。
HCH_013_075_000259	三月，蜀賊寇百丈關，官軍敗沒。
