HCH_011_010_000088	頃之，穎胄卒。
HCH_011_010_000089	時高祖弟始興王憺留守襄陽，詳乃遣使迎憺，共參軍國。
HCH_011_010_000090	和帝加詳禁兵，出入殿省，固辭不受。
HCH_011_010_000091	遷侍中、尚書右僕射。
HCH_011_010_000092	尋授使持節、撫軍將軍、荊州刺史。
HCH_011_010_000093	詳又固讓于憺。
HCH_011_010_000094	天監元年，徵爲侍中、車騎將軍，論功封寧都縣侯，邑二千戶。
HCH_011_010_000095	詳累辭讓，至於懇切，乃更授右光祿大夫，侍中如故。
HCH_011_010_000096	給親信二十人，改封豊城縣公，邑如故。
HCH_011_010_000097	二年，抗表致仕，詔解侍中，進特進。
HCH_011_010_000098	三年，遷使持節、散騎常侍、車騎將軍、湘州刺史。
HCH_011_010_000099	詳善吏事，在州四載，爲百姓所稱。
HCH_011_010_000100	州城南臨水有峻峰，舊老相傳，云「刺史登此山輒被代。」
HCH_011_010_000101	因是歷政莫敢至。
HCH_011_010_000102	詳於其地起臺榭，延僚屬，以表損挹之志。
HCH_011_010_000103	六年，徵爲侍中、右光祿大夫，給親信二十人，未至，授尚書左僕射、金紫光祿大夫，侍中如故。
HCH_011_010_000104	道病卒，時年七十四，上爲素服舉哀，贈右光祿。
HCH_011_010_000105	先是，荊府城局參軍起士瞻役萬人浚仗庫防火池，得金革帶鉤，隱起雕鏤甚精巧，篆文曰「錫爾金鉤，旣公且侯」。
HCH_011_010_000106	士瞻，詳兄女婿也。
HCH_011_010_000107	女竊以與詳，詳喜佩之，期歲而貴矣。
HCH_011_010_000108	蔡道恭，字懷儉，南陽冠軍人也。
HCH_011_010_000109	父郡，宋益州刺史。
HCH_011_010_000110	道恭少寬厚有大量。
HCH_011_010_000111	齊文帝爲雍州，召補主簿，仍除員外散騎常侍。
HCH_011_010_000112	後累有戰功，遷越騎校尉、後軍將軍。
HCH_011_010_000113	建武末，出爲輔國司馬、汝南令。
HCH_011_010_000114	齊南康王爲荊州，薦爲西中郎中兵參軍，加輔國將軍。
HCH_011_010_000115	義兵起，蕭穎胄以道恭舊將，素著威略，專相委任，遷冠軍將軍、西中郎諮議參軍，仍轉司馬。
HCH_011_010_000116	中興元年，和帝卽位，遷右衛將軍。
HCH_011_010_000117	巴西太守魯休烈等自巴、蜀連兵寇上明，以道恭持節、督西討諸軍事。
HCH_011_010_000118	次土臺，與賊合戰，道恭潛以奇兵出其後，一戰大破之，休烈等降于軍門。
HCH_011_010_000119	以功遷中領軍，固辭不受，出爲使持節、右將軍、司州刺史。
HCH_011_010_000120	天監初，論功封漢壽縣伯，邑七百戶，進號平北將軍。
HCH_011_010_000121	三年，魏圍司州，時城中衆不滿五千人，食裁支半歲，魏軍攻之，晝夜不息，道恭隨方抗禦，皆應手摧卻。
HCH_011_010_000122	魏乃作大車載土，四面俱前，欲以填壍，道恭輒於壍內列艨衝鬬艦以待之，魏人不得進。
HCH_011_010_000123	又潛作伏道以決壍水，道恭載土㹠塞之。
HCH_011_010_000124	相持百餘日，前後斬獲不可勝計。
HCH_011_010_000125	魏大造梯沖，攻圍日急，道恭於城內作土山，厚二十餘丈；多作大槊，長二丈五尺，施長刃，使壯士刺魏人登城者。
HCH_011_010_000126	魏軍甚憚之，將退。
HCH_011_010_000127	會道恭疾篤，乃呼兄子僧勰、從弟靈恩及諸將帥謂曰：「吾受國厚恩，不能破滅寇賊，今所苦轉篤，勢不支久，汝等當以死固節，無令吾沒有遺恨。」
HCH_011_010_000128	又令取所持節謂僧勰曰：「稟命出疆，憑此而已；卽不得奉以還朝，方欲攜之同逝，可與棺柩相隨。」
HCH_011_010_000129	衆皆流涕。
HCH_011_010_000130	其年五月卒。
HCH_011_010_000131	魏知道恭死，攻之轉急。
HCH_011_010_000132	先是，朝廷遣郢州刺史曹景宗率衆赴援，景宗到鑿峴，頓兵不前。
HCH_011_010_000133	至八月，城內糧盡，乃陷。
HCH_011_010_000134	詔曰：「持節、都督司州諸軍事、平北將軍、司州刺史、漢壽縣開國伯道恭，器幹詳審，才志通烈。王業肇構，致力陝西。受任邊垂，效彰所蒞。寇賊憑陵，竭誠守禦，奇謀間出，捷書日至。不幸抱疾，奄至殞喪，遺略所固，得移氣朔。自非徇國忘已，忠果並至，何能身沒守存，窮而後屈。言念傷悼，特兼常懷，追榮加等。抑有恒數。可贈鎮西將軍，使持節、都督、刺史、伯如故，幷尋購喪櫬，隨宜資給。」
HCH_011_010_000135	八年，魏許還道恭喪，其家以女樂易之，葬襄陽。
HCH_011_010_000136	子澹嗣，卒於河東太守。
HCH_011_010_000137	孫固早卒，國除。
HCH_011_010_000138	楊公則，字君翼，天水西縣人也。
HCH_011_010_000139	父仲懷，宋泰始初爲豫州刺史殷琰將。
HCH_011_010_000140	琰叛，輔國將軍劉勔討琰，仲懷力戰，死於橫塘。
HCH_011_010_000141	公則隨父在軍，年未弱冠，冒陣抱尸號哭，氣絕良久，勔命還仲懷首。
HCH_011_010_000142	公則殮畢，徒步負喪歸鄉里，由此著名。
HCH_011_010_000143	歷官員外散騎侍郎。
HCH_011_010_000144	梁州刺史范柏年板爲宋熙太守、領白馬戍主。
HCH_011_010_000145	氐賊李烏奴作亂，攻白馬，公則固守經時，矢盡糧竭，陷于寇，抗聲罵賊。
HCH_011_010_000146	烏奴壯之，更厚待焉，要與同事。
HCH_011_010_000147	公則偽許而圖之，謀泄，單馬逃歸。
HCH_011_010_000148	梁州刺史王玄邈以事表聞，齊高帝下詔褒美。
HCH_011_010_000149	除晉壽太守，在任清潔自守。
HCH_011_010_000150	永明中，爲鎮北長流參軍。
HCH_011_010_000151	遷扶風太守，母憂去官。
HCH_011_010_000152	雍州刺史陳顯達起爲寧朔將軍。
HCH_011_010_000153	復領太守。
HCH_011_010_000154	頃之，荊州刺史巴東王子響構亂，公則率師進討。
HCH_011_010_000155	事平，遷武寧太守。
HCH_011_010_000156	在郡七年，資無擔石，百姓便之。
HCH_011_010_000157	入爲前軍將軍。
HCH_011_010_000158	南康王爲荊州，復爲西中郎中兵參軍。
HCH_011_010_000159	領軍將軍蕭穎胄協同義舉，以公則爲輔國將軍、領西中郎諮議參軍，中兵如故，率衆東下。
HCH_011_010_000160	時湘州行事張寶積發兵自守，未知所附，公則軍及巴陵，仍回師南討。
HCH_011_010_000161	軍次白沙，寶積懼，釋甲以俟焉。
HCH_011_010_000162	公則到，撫納之，湘境遂定。
HCH_011_010_000163	和帝卽位，授持節、都督湘州諸軍事、湘州刺史。
HCH_011_010_000164	高祖勒衆軍次於沔口，魯山城主孫樂祖、郢州刺史張沖各據城未下，公則率湘府之衆會于夏口。
HCH_011_010_000165	時荊州諸軍受公則節度，雖蕭穎達宗室之貴亦隸焉。
HCH_011_010_000166	累進征虜將軍、左衛將軍，持節、刺史如故。
HCH_011_010_000167	郢城平，高祖命衆軍卽日俱下，公則受命先驅，徑掩柴桑。
HCH_011_010_000168	江州旣定，連旌東下，直造京邑。
HCH_011_010_000169	公則號令嚴明，秋毫不犯，所在莫不賴焉。
