HCH_012_052_000147	且令候太廟享畢，別遣官即其廟祭之。
HCH_012_052_000148	洪熙元年，以張玉、硃能、姚廣孝配享太廟。
HCH_012_052_000149	遣張輔、硃勇、王通及尚寶少卿姚繼各祭其父。
HCH_012_052_000150	嘉靖九年，以廖道南言，罷姚廣孝。
HCH_012_052_000151	十年，以刑部郎中李瑜議，進劉基，位次六王。
HCH_012_052_000152	十六年，以武定侯郭勳奏，進其祖英。
HCH_012_052_000153	初，二廟功臣，位各以爵，及進基位公侯上，至是復令禮官議合二廟功臣敘爵。
HCH_012_052_000154	於是列英於桑世傑上，張玉、硃能於沐英下，基於世傑下。
HCH_012_052_000155	二十四年，進諸配位於新太廟西壁，罷分獻。
HCH_012_052_000156	萬曆十四年，太常卿裴應章言：「廟中列後在上，異姓之臣禮當別嫌。且至尊拜俯於下，諸臣之靈亦必不安。」
HCH_012_052_000157	命復改西廡，遣官分獻。
HCH_012_052_000158	天啓元年，太常少卿李宗延言：「前代文臣皆有從祀。我朝不宜獨闕。」
HCH_012_052_000159	下禮部議，不行。
HCH_012_052_000160	洪武四年，禮部尚書陶凱等議定，王國宮垣內，左宗廟，右社稷。
HCH_012_052_000161	廟制，殿五間，寢殿如之，門三間。
HCH_012_052_000162	永樂八年，建秦愍王享堂，命視晉恭王制，加高一尺。
HCH_012_052_000163	因定享堂七間，廣十丈九尺五寸，高二丈九尺，深四丈三尺五寸。
HCH_012_052_000164	弘治十三年，寧王宸濠奏廟祀禮樂未有定式，乞頒賜遵守。
HCH_012_052_000165	禮部議：「洪武元年，學士宋濂等奏定諸王國祭祀禮樂，用清字，但有曲名，而無曲辭，請各王府稽考。於是靖江王長史具上樂章，且言四孟上旬及除夕五祭所用品物、俎豆、佾舞，禮節悉遵國初定制。」
HCH_012_052_000166	從之。
HCH_012_052_000167	嘉靖八年，秦王充燿言：「代懿王當祔廟，而自始封至今，已盈五廟之數，請定祧廟之制。」
HCH_012_052_000168	禮臣言：「親王祧廟，古制未聞，宜推太廟祧祔之禮而降殺之。始封居中，百世不遷，以下四世，親盡而祧。但諸侯無祧廟，祧主宜祔始祖之室，置櫝藏之，每歲暮則出祧主合祭。」
HCH_012_052_000169	詔如議。
HCH_012_052_000170	明初未有定制，權仿硃子祠堂之制，奉高曾祖禰四世神主，以四仲之月祭之，加臘月忌日之祭與歲時俗節之薦。
HCH_012_052_000171	其庶人得奉祖父母、父母之祀，已著爲令。
HCH_012_052_000172	至時享於寢之禮，略同品官祠堂之制。
HCH_012_052_000173	堂三間，兩階三級，中外爲兩門。
HCH_012_052_000174	堂設四龕，龕置一桌。
HCH_012_052_000175	高祖居西，以次而東，藏主櫝中。
