HCH_012_146_000000	張武陳珪孟善鄭亨徐忠郭亮張信徐祥李浚孫巖陳旭陳賢張興陳誌王友張武，瀏陽人。
HCH_012_146_000062	仁宗即位，為左參將，鎮交阯。
HCH_012_146_000063	坐庶兄常山護衛指揮賢永樂中謀立趙王事，並奪爵，毀其券，謫雲南。
HCH_012_146_000064	宣德六年放還，充為事官於宣府。
HCH_012_146_000065	英宗即位，授京衛指揮使。
HCH_012_146_000066	卒，子俊嗣官。
HCH_012_146_000067	天順初，以恩詔與伯爵。
HCH_012_146_000068	卒，子昂嗣。
HCH_012_146_000069	卒，爵除。
HCH_012_146_000070	鄭亨，合肥人。
HCH_012_146_000071	父用，洪武時，積功為大興左衛副千戶。
HCH_012_146_000072	請老，亨嗣職。
HCH_012_146_000073	洪武二十五年，應募持檄諭韃靼，至斡難河。
HCH_012_146_000074	還，遷密雲衛指揮僉事。
HCH_012_146_000075	燕師起，以所部降。
HCH_012_146_000076	戰真定，先登，進指揮使。
HCH_012_146_000077	襲大寧，至劉家口，諸將將攻關，成祖慮守關卒走報大寧得為備，乃令亨將勁騎數百卷旆登山，潛出關後，斷其歸路。
HCH_012_146_000078	急攻之，悉縛守關者，遂奄至大寧。
HCH_012_146_000079	進北平都指揮僉事。
HCH_012_146_000080	夜帥眾破鄭村壩兵，西破紫荊關，掠廣昌，取蔚州，直抵大同。
HCH_012_146_000081	還戰白溝河，逐北至濟南，進都指揮同知。
HCH_012_146_000082	攻滄州，軍北門，扼餉道東昌。
HCH_012_146_000083	戰敗，收散卒，還軍深州。
HCH_012_146_000084	明年戰夾河、槁城，略地至彰德，耀兵河上。
HCH_012_146_000085	還屯完縣。
HCH_012_146_000086	明年從破東平、汶上，軍小河。
HCH_012_146_000087	戰敗，王真死。
HCH_012_146_000088	諸將皆欲北還，惟亨與朱能不可。
HCH_012_146_000089	入京師，歷遷中府左都督，封武安侯，祿千五百石，予世券。
HCH_012_146_000090	留守北京。
HCH_012_146_000091	時父用猶在，受封爵視亨。
HCH_012_146_000092	永樂元年，充總兵官，帥武成侯王聰、安平侯李遠備宣府。
HCH_012_146_000093	亨至邊，度宣府、萬全、懷來形便，每數堡相距，中擇一堡可容數堡士馬者，為高城深池，浚井蓄水，謹瞭望。
HCH_012_146_000094	寇至，夜舉火，晝鳴炮，並力堅守。
HCH_012_146_000095	規畫周詳，後莫能易。
HCH_012_146_000096	三年二月召還，旋遣之鎮。
HCH_012_146_000097	七年秋，備邊開平。
HCH_012_146_000098	明年，帝北征，命亨督運。
HCH_012_146_000099	出塞，將右哨，追敗本雅失裏。
HCH_012_146_000100	大軍與阿魯臺遇。
HCH_012_146_000101	亨帥眾先，大破之。
HCH_012_146_000102	論功為諸將冠。
HCH_012_146_000103	其冬仍出鎮宣府。
HCH_012_146_000104	十二年復從北征，領中軍。
HCH_012_146_000105	戰忽失溫，追敵中流矢卻，復與大軍合破之。
HCH_012_146_000106	二十年復從出塞，將左哨，帥卒萬人，治龍門道過軍，破兀良哈於屈裂河。
HCH_012_146_000107	將輜重還，擊破寇之追躡者，仍守開平。
HCH_012_146_000108	成祖凡五出塞，亨皆在行。
HCH_012_146_000109	仁宗即位，鎮大同。
HCH_012_146_000110	洪熙元年二月，頒制諭及將軍印於各邊總兵官。
HCH_012_146_000111	亨佩征西前將軍印。
HCH_012_146_000112	在鎮墾田積谷，邊備完固，自是大同希寇患。
HCH_012_146_000113	宣德元年召掌行後府事。
HCH_012_146_000114	已，仍鎮大同，轉餉宣府。
HCH_012_146_000115	招降迤北部長四十九人，請於朝，厚撫之，歸附者相屬。
HCH_012_146_000116	九年二月卒於鎮。
HCH_012_146_000117	亨嚴肅重厚，善撫士卒，恥掊克。
HCH_012_146_000118	在大同時，鎮守中官撓軍政，亨裁之以理，其人不悅，然其卒也，深悼惜之。
HCH_012_146_000119	贈漳國公，謚忠毅。
HCH_012_146_000120	妾張氏，自經以殉，贈淑人。
HCH_012_146_000121	子能嗣，傳爵至明亡。
HCH_012_146_000122	徐忠，合肥人，襲父爵為河南衛副千戶。
HCH_012_146_000123	累從大軍北征，多所俘獲，進濟陽衛指揮僉事。
HCH_012_146_000124	洪武末，鎮開平。
HCH_012_146_000125	燕兵破居庸、懷來，忠以開平降。
HCH_012_146_000126	從徇灤河，與陳旭拔其城。
HCH_012_146_000127	李景隆攻北平，燕師自大寧還救。
HCH_012_146_000128	至會州，置五軍：張玉將中軍，朱能將左軍，李彬將右軍，房寬將後軍，忠號驍勇，使將前軍。
HCH_012_146_000129	遂敗陳暉於白河，破景隆於鄭村壩。
HCH_012_146_000130	白溝河之戰，忠單騎突陣。
HCH_012_146_000131	一指中流矢，未暇去鏃，急抽刀斷之。
HCH_012_146_000132	控滿疾驅，殊死戰。
HCH_012_146_000133	燕王乘高見之，謂左右曰：「真壯士也！」
HCH_012_146_000134	進攻濟南，克滄州，大戰東昌、夾河。
HCH_012_146_000135	攻彰德，破西水寨，克東阿、東平、汶上，大戰靈璧。
HCH_012_146_000136	遂從渡江入京師。
HCH_012_146_000137	自指揮同知累遷都督僉事。
HCH_012_146_000138	封永康侯，祿一千一百石，予世券。
HCH_012_146_000139	忠每戰，摧鋒跳蕩，為諸將先。
HCH_012_146_000140	而馭軍甚嚴，所過無擾。
HCH_012_146_000141	善撫降附，得其死力。
HCH_012_146_000142	事繼母以孝聞。
HCH_012_146_000143	夜歸，必揖家廟而後入。
HCH_012_146_000144	儉約恭謹，未嘗有過。
HCH_012_146_000145	成祖北巡，以忠老成，留輔太子監國。
HCH_012_146_000146	永樂十一年八月卒。
HCH_012_146_000147	贈蔡國公，謚忠烈。
HCH_012_146_000148	傳爵至裔孫錫登，崇禎末，死於賊。
HCH_012_146_000149	從兄錫胤嘗襲侯，卒，無子。
HCH_012_146_000150	其妻朱氏，成國公純臣女也。
HCH_012_146_000151	夫歿，樓居十餘年，不履地。
HCH_012_146_000152	城陷，捧廟主自焚死。
HCH_012_146_000153	郭亮，合肥人，為永平衛千戶。
HCH_012_146_000154	燕兵至永平，與指揮趙彜以城降，即命為守。
HCH_012_146_000155	時燕師初起，先略定旁郡邑。
HCH_012_146_000156	既克居庸、懷來，山後諸州皆下。
HCH_012_146_000157	而永平地接山海關，障隔遼東。
HCH_012_146_000158	既降，北平益無患，成祖遂南敗耿炳文於真定。
HCH_012_146_000159	既而遼東鎮將江陰侯吳高、都督楊文等圍永平，亮拒守甚固。
HCH_012_146_000160	援師至，內外合擊，高退走。
HCH_012_146_000161	未幾，高中讒罷，楊文代將，復率眾來攻。
HCH_012_146_000162	亮及劉江合擊，大敗之。
HCH_012_146_000163	累進都督僉事。
HCH_012_146_000164	成祖即位，以守城功封成安侯，祿千二百石，世伯爵。
HCH_012_146_000165	永樂七年守開平，以不檢聞。
HCH_012_146_000166	二十一年三月卒。
HCH_012_146_000167	贈興國公，謚忠壯。
HCH_012_146_000168	妾韓氏自經以殉，贈淑人。
HCH_012_146_000169	子晟當嗣伯，仁宗特命嗣侯。
HCH_012_146_000170	宣德五年，坐扈駕先歸革爵，尋復之。
HCH_012_146_000171	無子，弟昂嗣伯，傳爵至明亡。
HCH_012_146_000172	趙彜，虹人。
HCH_012_146_000173	洪武時，為燕山右衛百戶。
HCH_012_146_000174	從傅友德北征，城宣府、萬全、懷來，擢永平衛指揮僉事。
HCH_012_146_000175	降燕，歷諸戰皆有功，累遷都指揮使。
HCH_012_146_000176	成祖稱帝，封忻城伯，祿千石。
HCH_012_146_000177	永樂八年，鎮宣府，嘗從北征。
HCH_012_146_000178	坐盜餉下獄，得釋。
HCH_012_146_000179	尋以呂梁洪湍險，命彜鎮徐州經理。
HCH_012_146_000180	復以擅殺運丁、盜官糧，為都御史李慶所劾。
HCH_012_146_000181	命法司論治，復得釋。
HCH_012_146_000182	仁宗立，召還。
HCH_012_146_000183	宣德初卒。
HCH_012_146_000184	子榮嗣。
HCH_012_146_000185	數傳至之龍。
HCH_012_146_000186	崇禎末，協守南京，大清兵下江南，之龍迎降。
HCH_012_146_000187	張信，臨淮人。
HCH_012_146_000188	父興，永寧衛指揮僉事。
HCH_012_146_000189	信嗣官，移守普定、平越，積功進都指揮僉事。
HCH_012_146_000190	惠帝初即位，大臣薦信謀勇，調北平都司。
HCH_012_146_000191	受密詔，令與張昺、謝貴謀燕王。
HCH_012_146_000192	信憂懼不知所為。
HCH_012_146_000193	母怪問之，信以告。
HCH_012_146_000194	母大驚曰：「不可。汝父每言王氣在燕。汝無妄舉，滅家族。」
HCH_012_146_000195	成祖稱病，信三造燕邸，辭不見。
HCH_012_146_000196	信固請，入拜床下。
HCH_012_146_000197	密以情輸成祖，成祖戄然起立，召諸將定計，起兵，奪九門。
HCH_012_146_000198	成祖入京師，論功比諸戰將，進都督僉事。
HCH_012_146_000199	封隆平侯，祿千石，與世伯券。
HCH_012_146_000200	成祖德信甚，呼為「恩張」。
HCH_012_146_000201	欲納信女為妃，信固辭，以此益見重。
HCH_012_146_000202	凡察藩王動靜諸密事，皆命信。
HCH_012_146_000203	信怙寵頗驕。
HCH_012_146_000204	永樂八年冬，都御史陳瑛言信「無汗馬勞，忝冒侯爵，恣肆貪墨，強占丹陽練湖八十餘里、江陰官田七十餘頃，請下有司驗治。」
HCH_012_146_000205	帝曰：「瑛言是也。昔中山王有沙洲一區，耕農水道所經，家僮阻之以擅利。王聞，即歸其地於官。今信何敢爾！」
HCH_012_146_000206	命法司雜治之。
HCH_012_146_000207	尋以舊勛不問。
HCH_012_146_000208	二十年從北征，督運餉。
HCH_012_146_000209	大閱於隰寧，信辭疾不至，謫充辦事官。
HCH_012_146_000210	已而復職。
HCH_012_146_000211	仁宗即位，加少師，並支二俸，與世侯券。
HCH_012_146_000212	宣德元年，從征樂安。
HCH_012_146_000213	三年，帝巡邊，征兀良哈，命居守。
HCH_012_146_000214	明年督軍萬五千人浚河西務河道。
HCH_012_146_000215	正統七年五月卒於南京。
HCH_012_146_000216	贈鄖國公，謚恭僖。
HCH_012_146_000217	子鏞，自立功為指揮僉事，先卒。
HCH_012_146_000218	子淳嗣，傳爵至明亡。
HCH_012_146_000219	有唐雲者，燕山中護衛指揮也，不知所自起。
HCH_012_146_000220	成祖既殺張昺、謝貴等，將士猶據九門，閉甕城，陳戈戟內向。
HCH_012_146_000221	張玉等夜襲之，已克其八，惟西直門不下。
HCH_012_146_000222	成祖令雲解甲，騎馬導從如平時，諭守者曰：「天子已聽王自制一方。汝等急退，後者戮。」
HCH_012_146_000223	雲於諸指揮中年最長，素信謹，將士以為不欺，遂散。
HCH_012_146_000224	時眾心未附，雲告以天意所向，眾乃定。
HCH_012_146_000225	雲從成祖久，出入左右，甚見倚任。
HCH_012_146_000226	先後出師，皆留輔世子。
HCH_012_146_000227	南兵數攻城，拒守甚力，戰未嘗失利。
HCH_012_146_000228	累遷都指揮使。
HCH_012_146_000229	成祖稱帝，封新昌伯，世指揮使。
HCH_012_146_000230	明年七月卒。
HCH_012_146_000231	賜賚甚厚。
HCH_012_146_000232	徐祥，大冶人。
HCH_012_146_000233	初仕陳友諒，歸太祖於江州，積功至燕山右護衛副千戶。
HCH_012_146_000234	成祖以其謹直，命侍左右。
HCH_012_146_000235	從起兵，轉戰四年，皆有功，累進都指揮使。
HCH_012_146_000236	成祖即位，論功封興安伯，祿千石。
HCH_012_146_000237	時封伯者，祥及徐理、李浚、張輔、唐雲、譚忠、孫巖、房勝、趙彜、陳旭、劉才、茹常、王佐、陳瑄十四人，祥第一。
HCH_012_146_000238	祥在諸將中年稍長。
HCH_012_146_000239	及封，益勤慎。
HCH_012_146_000240	永樂二年五月卒。
HCH_012_146_000241	年七十三。
HCH_012_146_000242	孫亨嗣。
HCH_012_146_000243	十二年從北征，為中軍副將。
HCH_012_146_000244	至土剌河，獲馬三千。
HCH_012_146_000245	還守開平，將輕騎往來興和、大同備邊。
HCH_012_146_000246	後屢從出塞。
HCH_012_146_000247	宣德元年，以右副將征交阯，無功，奪爵。
HCH_012_146_000248	英宗即位，復之。
HCH_012_146_000249	正統九年，征兀良哈，出界嶺口、河北川，進侯。
HCH_012_146_000250	出鎮陜西，召還。
HCH_012_146_000251	天順初卒，謚武襄。
HCH_012_146_000252	子賢嗣伯，以跛免朝謁，給半祿，卒。
HCH_012_146_000253	子盛嗣，卒，無子。
HCH_012_146_000254	再從弟良嗣。
HCH_012_146_000255	良祖母，故小妻也。
HCH_012_146_000256	繼祖母，定襄伯郭登女。
HCH_012_146_000257	至是其孫爭襲。
HCH_012_146_000258	朝議以郭氏初嘗適人，法不當為正嫡，良竟得嗣。
HCH_012_146_000259	良時年五十，家貧，傭大中橋汲水。
HCH_012_146_000260	都督府求興安伯後，良乃謝其鄰而去，僉書南京中府。
HCH_012_146_000261	忤劉瑾，革祿二百石。
HCH_012_146_000262	傳爵至明亡。
HCH_012_146_000263	李濬，和州人。
HCH_012_146_000264	父旺，洪武中燕山左護衛副千戶。
HCH_012_146_000265	濬嗣官，從起兵，奪九門。
HCH_012_146_000266	招募薊州、永平壯勇數千人，破南軍於真定。
HCH_012_146_000267	從收大寧。
HCH_012_146_000268	鄭村壩之戰，帥精騎突陣，眾鼓噪乘之，大捷。
HCH_012_146_000269	轉戰山東，為前鋒。
HCH_012_146_000270	至小河，猝與南軍遇，帥敢死士先斷河橋，南軍不能爭。
HCH_012_146_000271	成祖至，遂大敗之。
HCH_012_146_000272	累遷都指揮使，封襄城伯，祿千石。
HCH_012_146_000273	永樂元年出鎮江西。
HCH_012_146_000274	永新盜起，捕誅其魁。
HCH_012_146_000275	尋召還。
HCH_012_146_000276	三年十一月卒。
HCH_012_146_000277	子隆，字彥平，年十五嗣封。
HCH_012_146_000278	雄偉有將略。
HCH_012_146_000279	數從北征，出奇料敵，成祖器之。
HCH_012_146_000280	即遷都，以南京根本地，命隆留守。
HCH_012_146_000281	仁宗即位，命鎮山海關。
HCH_012_146_000282	未幾，復守南京。
HCH_012_146_000283	隆讀書好文，論事侃侃，清慎守法，尤敬禮士大夫。
HCH_012_146_000284	在南京十八年，前後賜璽書二百餘。
HCH_012_146_000285	及召還，南都民流涕送之江上。
HCH_012_146_000286	正統五年入總禁軍。
HCH_012_146_000287	十一年巡大同邊，賜寶刀一，申飭戒備，內外凜凜。
HCH_012_146_000288	訖還，不僇一人。
HCH_012_146_000289	明年卒。
HCH_012_146_000290	子珍嗣。
HCH_012_146_000291	歿於土木，贈侯，謚悼僖。
HCH_012_146_000292	無子。
HCH_012_146_000293	弟瑾嗣。
HCH_012_146_000294	成化三年，四川都掌蠻叛，命佩征夷將軍印，充總兵官往討。
HCH_012_146_000295	兵部尚書程信督之。
HCH_012_146_000296	師至永寧，分六路進。
HCH_012_146_000297	瑾與信居中節制，盡破諸蠻寨。
HCH_012_146_000298	前後斬首四千五百有奇，獲鎧仗、牲畜無算。
HCH_012_146_000299	分都掌地，設官建治控制之。
HCH_012_146_000300	師還，進侯，累加太保。
HCH_012_146_000301	弘治二年卒。
HCH_012_146_000302	贈芮國公，謚壯武。
HCH_012_146_000303	瑾性寬弘，能下士。
HCH_012_146_000304	兄璉以貌寢，不得嗣。
HCH_012_146_000305	瑾敬禮甚厚。
HCH_012_146_000306	璉卒，撫其子鄌如己子。
HCH_012_146_000307	瑾子黼嗣伯，數年卒。
HCH_012_146_000308	無子，鄌得嗣。
HCH_012_146_000309	四傳至守锜，累典營務，加太子少保。
HCH_012_146_000310	崇禎初，總督京營，坐營卒為盜落職，憂憤卒。
HCH_012_146_000311	子國禎嗣。
HCH_012_146_000312	有口辯。
HCH_012_146_000313	嘗召對，指陳兵事甚悉，帝信以為才。
HCH_012_146_000314	十六年命總督京營，倚任之，而國禎實無他能。
HCH_012_146_000315	明年三月，李自成犯京師。
HCH_012_146_000316	三大營兵不戰而潰。
HCH_012_146_000317	再宿，城陷。
HCH_012_146_000318	賊勒國禎降，國禎解甲聽命。
HCH_012_146_000319	責賄不足，被拷折踝，自縊死。
HCH_012_146_000320	孫巖，鳳陽人。
HCH_012_146_000321	從太祖渡江，累官燕山中護衛千戶，致仕。
HCH_012_146_000322	燕師起，通州守將房勝以城降。
HCH_012_146_000323	王以巖宿將，使與勝協守。
HCH_012_146_000324	南軍至，攻城甚急，樓堞皆毀。
HCH_012_146_000325	巖、勝多方捍禦。
HCH_012_146_000326	已，復突門力戰，追奔至張家灣，獲餉舟三百。
HCH_012_146_000327	累擢都指揮僉事。
HCH_012_146_000328	論功，以舊臣有守城功，封應城伯，祿千石。
HCH_012_146_000329	永樂十一年，備開平，旋移通州。
HCH_012_146_000330	以私憾椎殺千戶，奪爵，安置交阯。
HCH_012_146_000331	已而復之。
HCH_012_146_000332	十六年卒。
HCH_012_146_000333	贈侯，謚威武。
HCH_012_146_000334	子亨嗣，傳至明亡，爵除。
HCH_012_146_000335	房勝，景陵人。
HCH_012_146_000336	初從陳友諒。
HCH_012_146_000337	來歸，累功至通州衛指揮僉事。
HCH_012_146_000338	燕兵起北平，勝首以通州降。
HCH_012_146_000339	成祖即位，以守城功，封富昌伯，祿千石，世指揮使。
HCH_012_146_000340	永樂四年卒。
HCH_012_146_000341	陳旭，全椒人。
HCH_012_146_000342	父彬，從太祖為指揮僉事。
HCH_012_146_000343	旭嗣官，為會州衛指揮同知，舉城降燕。
HCH_012_146_000344	從徇灤河，功多。
HCH_012_146_000345	力戰真定。
HCH_012_146_000346	守德州，盛庸兵至，棄城走。
HCH_012_146_000347	置不問。
HCH_012_146_000348	從入京師，封雲陽伯，祿千石。
HCH_012_146_000349	永樂元年，命巡視中都及直隸衛所軍馬城池。
HCH_012_146_000350	四年從英國公張輔征交阯，為右參將。
HCH_012_146_000351	偕豐城侯李彬破西都。
HCH_012_146_000352	師還，與彬各加祿五百石。
HCH_012_146_000353	已而陳季擴叛，復從輔往剿。
HCH_012_146_000354	輔還，又命副沐晟。
HCH_012_146_000355	八年以疾卒於軍。
HCH_012_146_000356	無子，封絕。
HCH_012_146_000357	陳賢，壽州人。
HCH_012_146_000358	初從太祖立功，授雄武衛百戶。
HCH_012_146_000359	從征西番、雲南；北征至捕魚兒海，皆有功。
HCH_012_146_000360	歷燕山右護衛指揮僉事。
HCH_012_146_000361	燕師起，從諸將轉戰，常突陣陷堅。
HCH_012_146_000362	軍中稱其驍勇。
HCH_012_146_000363	累遷都督僉事。
HCH_012_146_000364	永樂元年四月，成祖慮功臣封有遺闕，令邱福等議。
HCH_012_146_000365	福等言都督僉事李彬功不在房寬下，涇國公子懋、金鄉侯子通俱未襲爵，而陳賢、張興、陳誌、王友功與劉才等。
HCH_012_146_000366	於是封彬豐城侯，懋、通與賢等四人並封伯，祿皆千石。
HCH_012_146_000367	賢封榮昌伯。
HCH_012_146_000368	八年充神機將軍，從北征。
HCH_012_146_000369	十三年十一月卒。
HCH_012_146_000370	子智，前立功為常山右護衛指揮，嗣父爵。
HCH_012_146_000371	宣德中，以參將佩征夷將軍印，鎮交阯。
HCH_012_146_000372	怯不任戰，又與都督方政相失。
HCH_012_146_000373	黎利勢盛，不能禦，敗績。
HCH_012_146_000374	奪爵，充為事官。
HCH_012_146_000375	從王通立功。
HCH_012_146_000376	尋以棄地還，下獄。
HCH_012_146_000377	得釋。
HCH_012_146_000378	正統初，復為指揮使。
HCH_012_146_000379	張興，壽州人。
HCH_012_146_000380	起卒伍，為燕山左護衛指揮僉事。
HCH_012_146_000381	從起兵，功多，累遷都指揮同知。
HCH_012_146_000382	從子勇，有力敢戰，從興行陣為肘腋。
HCH_012_146_000383	興嘗單騎追敵，被數十創，傷重不任戰。
HCH_012_146_000384	以勇嗣指揮使，代將其兵。
HCH_012_146_000385	再論功，興封安鄉伯。
HCH_012_146_000386	永樂五年正月卒。
HCH_012_146_000387	無子。
HCH_012_146_000388	勇嗣。
HCH_012_146_000389	永樂八年從北征，失律，謫交阯。
HCH_012_146_000390	赦還復爵，卒。
HCH_012_146_000391	子安嗣。
HCH_012_146_000392	正統十三年鎮廣東。
HCH_012_146_000393	黃蕭養寇廣州，安帥舟師遇賊於戙船澳。
HCH_012_146_000394	安方醉臥，官軍不能支，退至沙角尾。
HCH_012_146_000395	賊薄之，軍潰。
HCH_012_146_000396	安溺死。
HCH_012_146_000397	傳爵至光燦，死流寇。
HCH_012_146_000398	陳誌，巴人。
HCH_012_146_000399	洪武中，為燕山中護衛指揮僉事。
HCH_012_146_000400	從起兵，累遷都指揮同知，封遂安伯。
HCH_012_146_000401	誌素以恭謹受知，戮力戎行，始終不懈。
HCH_012_146_000402	永樂八年五月卒。
HCH_012_146_000403	孫瑛嗣。
HCH_012_146_000404	屢從出塞，鎮永平、山海、薊州，城雲州、獨石。
HCH_012_146_000405	爽闿有將材。
HCH_012_146_000406	然貪殘，人多怨者。
HCH_012_146_000407	卒，子塤嗣。
HCH_012_146_000408	歿於土木，謚榮懷。
HCH_012_146_000409	弟韶嗣。
HCH_012_146_000410	卒。
HCH_012_146_000411	孫鏸嗣。
HCH_012_146_000412	總薊州兵。
HCH_012_146_000413	朵顏入寇，禦卻之。
HCH_012_146_000414	嘉靖初，敘奉迎功，加太子太保，進少保，委寄亞武定侯郭勛。
HCH_012_146_000415	嗣伯六十餘年卒。
HCH_012_146_000416	又五傳而明亡。
HCH_012_146_000417	王友，荊州人。
HCH_012_146_000418	襲父職為燕山護衛百戶。
HCH_012_146_000419	從起兵，定京師。
HCH_012_146_000420	論功當侯，以驕縱，授都指揮僉事。
HCH_012_146_000421	及丘福等議上，乃封清遠伯。
HCH_012_146_000422	明年充總兵官，帥舟師沿海捕倭。
HCH_012_146_000423	倭數掠海上，友無功，帝切責之。
HCH_012_146_000424	已，大破倭。
HCH_012_146_000425	帝喜，降敕褒勞，尋召還。
HCH_012_146_000426	四年從征交阯，與指揮柳琮合兵破籌江柵，困枚、普賴諸山，斬首三萬七千餘級。
HCH_012_146_000427	六年七月進侯，加祿五百石，與世券。
HCH_012_146_000428	明年，再征交阯，為副總兵。
HCH_012_146_000429	八年還，從北征，督中軍。
HCH_012_146_000430	別與劉才築城飲馬河上。
HCH_012_146_000431	會知院失乃幹欲降，帝令友將士卒先行，諭以遇敵相機剿滅。
HCH_012_146_000432	友等至，與敵相距一程，迂道避之應昌。
HCH_012_146_000433	軍中乏食，多死者。
HCH_012_146_000434	帝震怒，屢旨切責，奪其軍屬張輔。
HCH_012_146_000435	還令群臣議罪。
HCH_012_146_000436	已而赦之。
HCH_012_146_000437	十二年，坐妾告友夫婦誹謗。
HCH_012_146_000438	有驗，奪爵。
HCH_012_146_000439	未幾卒。
HCH_012_146_000440	仁宗即位，官其子順為指揮僉事。
HCH_012_146_000441	贊曰：張武、陳珪諸人，或從起藩封，或率先歸附，皆偏裨列校，非有勇略智計稱大將材也。
HCH_012_146_000442	一旦遘風雲之會，剖符策功，號稱佐命，與太祖開國諸臣埒，酬庸之義不亦厚歟！
