HCH_009_027_000119	宣宗貞祐二年十一月壬申，上遣參知政事侯摯祭河神於宜村。
HCH_009_027_000120	三年四月，單州刺史顏盞天澤言：「守禦之道，當決大河使北流德、博、觀、滄之境。今其故堤宛然猶在，工役不勞，水就下必無漂沒之患。而難者若不以犯滄鹽場損國利為說，必以浸沒河北良田為解。臣嘗聞河側故老言，水勢散漫，則淺不可以馬涉，深不可以舟濟，此守禦之大計也。若日浸民田，則河徙之後，淤為沃壤，正宜耕墾，收倍于常，利孰大焉。若失此計，則河南一路兵食不足，而河北、山東之民皆瓦解矣！」
HCH_009_027_000121	詔命議之。
HCH_009_027_000122	四年三月，延州刺史溫撒可喜言：「近世河離故道，自衛東南而流，由徐、邳入海，以此，河南之地為狹。臣竊見新鄉縣西河水可決使東北，其南有舊堤，水不能溢，行五十餘裏與清河合，則由浚州、大名、觀州、清州、柳口入海，此河之故道也，皆有舊堤，補其缺罅足矣！如此則山東、大名等路，皆在河南，而河北諸郡亦得其半，退足以為禦備之計，進足以壯恢復之基。」
HCH_009_027_000123	又言：「南岸居民，既已籍其河夫修築河堰，營作戍屋，又使轉輸芻糧，賦役繁殷，倍於他所，夏秋租稅，猶所未論，乞減其稍緩者，以寬民力。」
HCH_009_027_000124	事下尚書省，宰臣謂：「河流東南舊矣。一旦決之，恐故道不容，衍溢而出，分為數河，不復可收。水分則淺狹易渡，天寒輒凍，禦備愈難，此甚不可！」
HCH_009_027_000125	詔但令量宜減南岸郡縣居民之賦役。
HCH_009_027_000126	五年夏四月，敕樞密院，沿河要害之地，可壘石岸，仍置撒星樁、陷馬塹以備敵。
HCH_009_027_000127	金都于燕，東去潞水五十里，故為閘以節高良河、白蓮潭諸水，以通山東、河北之粟。
HCH_009_027_000128	凡諸路瀕河之城，則置倉以貯傍郡之稅，若恩州之臨清、曆亭，景州之將陵、東光，清州之興濟、會川，獻州及深州之武強，是六州諸縣皆置倉之地也。
HCH_009_027_000129	其通漕之水，舊黃河行滑州、大名、恩州、景州、滄州、會州之境，漳水東北為禦河，則通蘇門、獲嘉、新鄉、衛州、浚州、黎陽、衛縣、彰德、磁州、洺州之饋，衡水則經深州會於滹沱，以來獻州、清州之餉，皆合于信安海壖。
HCH_009_027_000130	溯流而至通州，由通州入閘，十餘日而後至於京師。
HCH_009_027_000131	其他若霸州之巨馬河，雄州之沙河，山東之北清河，皆其灌輸之路也。
HCH_009_027_000132	然自通州而上，地峻而水不留，其勢易淺，舟膠不行，故常徙事陸挽，人頗艱之。
HCH_009_027_000133	世宗之世，言者請開盧溝金口以通漕運，役眾數年，竟無成功，事見《盧溝河》。
HCH_009_027_000134	其後亦以閘河或通或塞，而但以車挽矣。
HCH_009_027_000135	其制，春運以冰消行，暑雨畢。
HCH_009_027_000136	秋運以八月行，冰凝畢。
HCH_009_027_000137	其綱將發也。
HCH_009_027_000138	乃合眾，以所載之粟苴而封之，先以付所卸之地，視與所封樣同則受。
HCH_009_027_000139	凡綱船以前期三日修治，日裝一綱，裝畢以三日啟行。
HCH_009_027_000140	計道裏分溯流、沿流為限，至所受之倉，以三日卸，又三日給收付。
HCH_009_027_000141	凡挽漕腳直，水運鹽每石百里四十八文，米五十文一分二厘七毫，粟四十文一分三毫，錢則每貫一文七分二厘八毫。
HCH_009_027_000142	陸運傭直，米每石百里百一十二文一分五毫，粟五十七文六分八厘四毫，錢每貫三文九厘六毫。
HCH_009_027_000143	餘物每百斤行百里，平路則春冬百三十一文五分，夏秋百五十七文八分，山路則春冬百四十九文，夏秋二百一文。
HCH_009_027_000144	凡使司院務納課傭直，春冬九十文三分，夏秋百一十四文。
HCH_009_027_000145	諸民戶射賃官船漕運者，其腳直以十分為率，初年克二分，二年克一分八厘，三年克一分七厘，四年克一分五厘，五年以上克一分。
HCH_009_027_000146	初，世宗大定四年八月，以山東大熟，詔移其粟以實京師。
HCH_009_027_000147	十月，上出近郊，見運河湮塞，召問其故。
HCH_009_027_000148	主者雲戶部不為經畫所致。
HCH_009_027_000149	上召戶部侍郎曹望之，責曰：「有河不加浚，使百姓陸運勞甚，罪在汝等。朕不欲即加罪，宜悉力使漕渠通也。」
HCH_009_027_000150	五年正月，尚書省奏，可調夫數萬，上曰：「方春不可勞民，令宮籍監戶、東宮親王人從、及五百內裏軍夫浚治。」
HCH_009_027_000151	二十一年，以八月京城儲積不廣，詔沿河恩獻等六州粟百萬余石運至通州，輦入京師。
HCH_009_027_000152	明昌三年四月，尚書省奏：「遼東、北京路米粟素饒，宜航海以達山東。昨以按視東京近海之地，自大務清口並咸平銅善館皆可置倉貯粟以通漕運，若山東、河北荒歉，即可運以相濟。」
HCH_009_027_000153	制可。
HCH_009_027_000154	承安五年，邊河倉州縣，可令折納菽二十萬石，漕以入京，驗品級養馬於俸內帶支，仍漕麥十萬石，各支本色。
HCH_009_027_000155	乃命都水監丞田櫟相視運糧河道。
HCH_009_027_000156	泰和元年，尚書省以景州漕運司所管六河倉，歲稅不下六萬余石，其科州縣近者不下二百里，官吏取賄延阻，人不勝苦，雖近官監之亦然。
HCH_009_027_000157	遂命監察御史一員往來糾察之。
HCH_009_027_000158	五年，上至霸州，以故漕河淺澀，敕尚書省發山東、河北、河東、中都、北京軍夫六千，改鑿之。
HCH_009_027_000159	犯屯田戶地者，官對給之。
HCH_009_027_000160	民田則多酬其價。
HCH_009_027_000161	六年，尚書省以凡漕河所經之地，州縣官以為無與於己，多致淺滯，使綱戶以盤淺剝載為名，奸弊百出。
HCH_009_027_000162	於是遂定制，凡漕河所經之地，州府官銜內皆帶「提控漕河事」，縣官則帶「管勾漕河事」，俾催檢綱運，營護堤岸。
HCH_009_027_000163	為府三：大興、大名、彰德。
HCH_009_027_000164	州十二：恩、景、滄、清、獻、深、衛、浚、滑、磁、洺、通。
HCH_009_027_000165	縣三十三：大名、元城、館陶、夏津、武城、曆亭、監清、吳橋、將陵、東光、南皮、清池、靖海、興濟、會川、交河、樂壽、武強、安陽、湯陰、監漳、成安、滏陽、內黃、黎陽、衛、蘇門、獲嘉、新鄉、汲、潞、武清、香河、漷陰。
