HCH_010_037_000418	東南至上京一千五百里。
HCH_010_037_000419	皮被河城。
HCH_010_037_000420	地控北邊，置兵五百於此。
HCH_010_037_000421	防托皮被河出回紇北，東南經羽厥，入臚朐河，沿河董城北，東流合沱漉河，入於海。
HCH_010_037_000422	南至上京一千五百里。
HCH_010_037_000423	招州，綏遠軍，刺史。
HCH_010_037_000424	開泰三年以女直戶置。
HCH_010_037_000425	隸西北路招討司。
HCH_010_037_000426	塔懶主城。
HCH_010_037_000427	大康九年置。
HCH_010_037_000428	在臚朐河。
HCH_010_037_000429	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
