HCH_012_190_000166	廷和退而上奏曰：「《禮》謂為所後者為父母，而以其所生者為伯叔父母，蓋不惟降其服而又異其名也。臣不敢阿諛順旨。」
HCH_012_190_000167	仍封還手詔。
HCH_012_190_000168	群臣亦皆執前議。
HCH_012_190_000169	帝不聽。
HCH_012_190_000170	迨九月，母妃至京，帝自定儀由中門入，謁見太廟，復申諭欲加稱興獻帝、后為「皇」。
HCH_012_190_000171	廷和言：「漢宣帝繼孝昭後，謚史皇孫、王夫人曰悼考、悼后，光武上繼元帝，鉅鹿、南頓君以上立廟章陵，皆未嘗追尊。今若加皇字，與孝廟、慈壽並，是忘所後而重本生，任私恩而棄大義，臣等不得辭其責。」
HCH_012_190_000172	因自請斥罷。
HCH_012_190_000173	廷臣諍者百餘人。
HCH_012_190_000174	帝不得已，乃以嘉靖元年詔稱孝宗為「皇考」，慈壽皇太后為「聖母」，興獻帝、后為本生父母，不稱「皇」。
HCH_012_190_000175	當是時，廷和先後封還御批者四，執奏幾三十疏，帝常忽忽有所恨。
HCH_012_190_000176	左右因乘間言廷和恣無人臣禮。
HCH_012_190_000177	言官史道、曹嘉遂交劾廷和。
HCH_012_190_000178	帝為薄謫道、嘉以安廷和，然意內移矣。
HCH_012_190_000179	尋論定策功，封廷和、冕、紀伯爵，歲祿千石，廷和固辭。
HCH_012_190_000180	改蔭錦衣衛指揮使，復辭。
HCH_012_190_000181	帝以賞太輕，加蔭四品京職世襲，復辭。
HCH_012_190_000182	會滿四考，超拜太傅，復四辭而止。
HCH_012_190_000183	特賜敕旌異，錫宴於禮部，九卿皆與焉。
HCH_012_190_000184	帝頗事齋醮。
HCH_012_190_000185	廷和力言不可，引梁武、宋徽為喻，優旨報納。
HCH_012_190_000186	江左比歲不登，中官請遣官督織造。
HCH_012_190_000187	工部及給事、御史言之，皆不聽，趣內閣撰敕。
HCH_012_190_000188	廷和等不奉命，因極言民困財竭，請毋遣。
HCH_012_190_000189	帝趣愈急，且戒毋瀆擾執拗。
